arm,task_id,replicates,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,W_minus_S_aggregate_contribution,W_minus_A_aggregate_contribution
full,da-18-5,3,0.0,0.0,1.3333333333333333,-0.4444444444444405,15.333333333333334,-1.3333333333333333,-15.333333333333334,1.777777777777774,-15.777777777777773,-33.333333333333336,-0.06666666666666667,-0.7666666666666667
full,da-18-7,3,0.0,0.0,-2.6666666666666665,-1.3333333333333333,3.0,2.6666666666666665,-3.0,-1.3333333333333333,-4.333333333333333,0.0,0.13333333333333333,-0.15
full,da-19-1,3,0.0,0.0,-0.8333333333333334,-1.0555555555555547,0.5,0.8333333333333334,-0.5,0.22222222222222143,-1.5555555555555547,0.0,0.04166666666666667,-0.025
full,da-19-6,3,10.0,10.0,12.833333333333334,8.944444444444445,-5.5,-2.8333333333333335,15.5,3.888888888888888,14.444444444444445,0.0,-0.14166666666666666,0.775
user,da-10-1,3,5.0,5.0,8.833333333333334,12.388888888888888,15.666666666666666,-3.8333333333333335,-10.666666666666666,-3.555555555555555,-3.2777777777777786,0.0,-0.19166666666666668,-0.5333333333333333
user,da-10-3,3,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.333333333333336,19.833333333333332,0.0,-16.5,-1.0000000000000024,-15.499999999999998,0.0,0.0,-0.825
user,da-12-2,3,18.333333333333332,18.333333333333332,26.166666666666668,18.500000000000004,-0.6666666666666666,-7.833333333333333,19.0,7.666666666666665,19.166666666666668,-33.333333333333336,-0.39166666666666666,0.95
user,da-12-4,3,9.666666666666666,9.666666666666666,4.666666666666667,5.166666666666667,2.3333333333333335,5.0,7.333333333333333,-0.5,2.8333333333333335,0.0,0.25,0.36666666666666664
user,da-13-1,3,0.0,0.0,-2.1666666666666665,-0.05555555555555477,6.5,2.1666666666666665,-6.5,-2.111111111111112,-6.5555555555555545,-16.666666666666668,0.10833333333333332,-0.325
user,da-13-3,3,0.0,0.0,-2.3333333333333335,-3.888888888888888,-2.3333333333333335,2.3333333333333335,2.3333333333333335,1.5555555555555547,-1.5555555555555547,0.0,0.11666666666666667,0.11666666666666667
user,da-13-5,3,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.3888888888888904,-4.166666666666667,1.6666666666666667,7.5,0.2777777777777762,5.555555555555557,0.0,0.08333333333333334,0.375
user,da-13-6,3,-6.666666666666667,-6.666666666666667,-15.833333333333334,-16.666666666666664,-7.5,9.166666666666666,0.8333333333333334,0.8333333333333334,-9.166666666666666,0.0,0.4583333333333333,0.04166666666666667
user,da-14-1,3,0.0,0.0,9.0,5.666666666666667,-1.3333333333333333,-9.0,1.3333333333333333,3.3333333333333335,7.0,0.0,-0.45,0.06666666666666667
user,da-14-3,3,0.0,0.0,0.0,-2.500000000000002,-1.8333333333333333,0.0,1.8333333333333333,2.500000000000002,-0.6666666666666691,0.0,0.0,0.09166666666666666
user,da-14-8,3,-4.666666666666667,-4.666666666666667,-9.5,-10.277777777777777,-3.8333333333333335,4.833333333333333,-0.8333333333333334,0.7777777777777773,-6.444444444444444,-33.333333333333336,0.24166666666666664,-0.04166666666666667
user,da-15-1,3,11.0,11.0,-12.166666666666666,-6.055555555555558,5.666666666666667,23.166666666666668,5.333333333333333,-6.11111111111111,-11.722222222222223,-66.66666666666667,1.1583333333333334,0.26666666666666666
user,da-15-2,3,-3.3333333333333335,-5.0,-8.666666666666666,-0.7222222222222238,5.333333333333333,5.333333333333333,-8.666666666666666,-7.944444444444443,-6.055555555555557,-33.333333333333336,0.26666666666666666,-0.4333333333333333
user,da-15-7,3,-3.3333333333333335,-3.3333333333333335,0.8333333333333334,-3.055555555555556,20.333333333333332,-4.166666666666667,-23.666666666666668,3.8888888888888893,-23.38888888888889,-16.666666666666668,-0.20833333333333334,-1.1833333333333333
user,da-15-8,3,-5.666666666666667,-5.666666666666667,-5.666666666666667,-4.611111111111112,-3.1666666666666665,0.0,-2.5,-1.0555555555555547,-1.4444444444444453,16.666666666666668,0.0,-0.125
user,da-16-1,3,0.0,0.0,0.0,-0.1111111111111119,-1.6666666666666667,0.0,1.6666666666666667,0.1111111111111119,1.5555555555555547,0.0,0.0,0.08333333333333334
user,da-18-5,3,0.0,0.0,-7.0,-3.944444444444443,-2.3333333333333335,7.0,2.3333333333333335,-3.055555555555557,-1.6111111111111096,-16.666666666666668,0.35,0.11666666666666667
user,da-18-7,3,7.333333333333333,7.333333333333333,8.333333333333334,5.222222222222224,-7.166666666666667,-1.0,14.5,3.1111111111111094,12.388888888888891,0.0,-0.05,0.725
user,da-19-1,3,0.0,0.0,-5.5,-6.111111111111112,-2.5,5.5,2.5,0.6111111111111119,-3.611111111111112,0.0,0.275,0.125
user,da-19-6,3,-9.666666666666666,-9.666666666666666,-6.333333333333333,-5.333333333333333,3,-3.3333333333333335,-12.666666666666666,-1.0,-8.333333333333334,0.0,-0.16666666666666669,-0.6333333333333333
