arm,task_id,replicate,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_S_minus_H,delta_H_minus_A,delta_W_minus_A,delta_RH_full_trajectory,delta_RH_post_update,delta_RH_final_artifact,delta_RH_final_revision
full,da-13-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-13-5,3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-5.0,-5.0,0,0,0,0
full,da-13-6,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
full,da-13-6,2,0.0,0.0,-10.0,-10.0,0.0,10.0,0.0,-10.0,0.0,0,0,0,0
full,da-13-6,3,0.0,0.0,-10.0,-10.0,0.0,10.0,0.0,-10.0,0.0,0,0,0,0
full,da-14-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-14-8,2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-5.0,-5.0,0,0,0,0
full,da-14-8,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,0,0,0,0
full,da-15-1,1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,0,0,0,0
full,da-15-1,2,-13.0,-13.0,-13.0,-13.0,5.0,0.0,0.0,-18.0,-18.0,0,0,0,0
full,da-15-1,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-2.0,0,0,0,0
full,da-15-2,1,-27.0,-27.0,-17.0,13.0,4.0,-10.0,-30.0,9.0,-31.0,0,0,0,0
full,da-15-2,2,0.0,-5.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,0,0,0,0
full,da-15-2,3,-17.0,-17.0,-10.0,3.333333333333343,0.0,-7.0,-13.333333333333343,3.333333333333343,-17.0,0,0,0,0
full,da-15-7,1,10.0,10.0,0.0,0.0,-4.0,10.0,0.0,4.0,14.0,0,0,0,0
full,da-15-7,2,10.0,10.0,10.0,12.333333333333329,-5.0,0.0,-2.3333333333333286,17.33333333333333,15.0,0,0,0,0
full,da-15-7,3,-33.0,-33.0,-33.0,-33.0,-3.0,0.0,0.0,-30.0,-30.0,0,0,0,0
full,da-15-8,1,0.0,0.0,-7.0,-7.0,55.0,7.0,0.0,-62.0,-55.0,0,0,-100,0
full,da-15-8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-15-8,3,0.0,0.0,0.0,0.0,55.0,0.0,0.0,-55.0,-55.0,0,0,0,0
full,da-16-1,1,0.0,0.0,0.0,1.6666666666666714,0.0,0.0,-1.6666666666666714,1.6666666666666714,0.0,0,0,0,0
full,da-16-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-16-1,3,0.0,0.0,0.0,-1.6666666666666572,0.0,0.0,1.6666666666666572,-1.6666666666666572,0.0,0,0,0,0
full,da-18-5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-18-5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-18-5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-18-7,1,-8.0,-8.0,0.0,0.0,0.0,-8.0,0.0,0.0,-8.0,0,0,0,0
full,da-18-7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-18-7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-19-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-19-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-19-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
full,da-19-6,1,-3.0,-3.0,-8.0,-5.333333333333329,-8.0,5.0,-2.6666666666666714,2.6666666666666714,5.0,0,0,0,0
full,da-19-6,2,-20.0,-20.0,-20.0,-28.0,-10.0,0.0,8.0,-18.0,-10.0,0,0,0,0
full,da-19-6,3,20.0,20.0,0.0,-4.333333333333329,-2.0,20.0,4.333333333333329,-2.3333333333333286,22.0,0,0,0,0
user,da-10-1,1,6.0,6.0,0.0,0.0,-5.0,6.0,0.0,5.0,11.0,0,0,0,0
user,da-10-1,2,0.0,0.0,0.0,0.0,12.0,0.0,0.0,-12.0,-12.0,0,0,0,0
user,da-10-1,3,15.0,10.0,0.0,1.0,10.0,15.0,-1.0,-9.0,5.0,0,0,0,0
user,da-10-3,1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-8.0,-8.0,0,0,0,0
user,da-10-3,2,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0,0,0,0
user,da-10-3,3,-10.0,-10.0,0.0,-3.3333333333333286,-8.0,-10.0,3.3333333333333286,4.666666666666671,-2.0,0,0,0,0
user,da-12-2,1,0.0,0.0,0.0,0.0,40.0,0.0,0.0,-40.0,-40.0,0,0,0,0
user,da-12-2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100,0,0,0
user,da-12-2,3,-5.0,-5.0,12.0,8.0,0.0,-17.0,4.0,8.0,-5.0,0,0,0,0
user,da-12-4,1,-9.0,-9.0,0.0,0.0,0.0,-9.0,0.0,0.0,-9.0,0,0,0,0
user,da-12-4,2,-9.0,-9.0,0.0,-4.666666666666671,0.0,-9.0,4.666666666666671,-4.666666666666671,-9.0,0,0,0,0
user,da-12-4,3,5.0,5.0,0.0,4.666666666666671,0.0,5.0,-4.666666666666671,4.666666666666671,5.0,0,0,0,0
user,da-13-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-1,3,9.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0,0,0,0
user,da-13-3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-5,2,5.0,5.0,10.0,3.3333333333333286,2.0,-5.0,6.666666666666671,1.3333333333333286,3.0,0,0,0,0
user,da-13-5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-13-6,1,0.0,0.0,-10.0,10.0,0.0,10.0,-20.0,10.0,0.0,0,0,0,0
user,da-13-6,2,0.0,0.0,-10.0,-16.66666666666667,0.0,10.0,6.666666666666671,-16.66666666666667,0.0,0,0,0,0
user,da-13-6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-14-8,1,-7.0,-7.0,0.0,-2.3333333333333286,0.0,-7.0,2.3333333333333286,-2.3333333333333286,-7.0,0,0,0,0
user,da-14-8,2,-25.0,-25.0,-10.0,-9.666666666666657,5.0,-15.0,-0.3333333333333428,-14.666666666666657,-30.0,0,0,0,0
user,da-14-8,3,-24.0,-24.0,-29.0,-26.66666666666667,-5.0,5.0,-2.3333333333333286,-21.66666666666667,-19.0,0,0,0,0
user,da-15-1,1,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0,0,0,0
user,da-15-1,2,10.0,10.0,10.0,7.666666666666671,18.0,0.0,2.3333333333333286,-10.333333333333329,-8.0,0,0,0,0
user,da-15-1,3,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,4.0,4.0,-100,0,0,0
user,da-15-2,1,10.0,10.0,0.0,12.333333333333336,0.0,10.0,-12.333333333333336,12.333333333333336,10.0,0,0,0,0
user,da-15-2,2,0.0,-5.0,-17.0,-17.0,-3.0,17.0,0.0,-14.0,3.0,0,0,0,0
user,da-15-2,3,-20.0,-20.0,-20.0,-17.0,-24.0,0.0,-3.0,7.0,4.0,0,0,0,0
user,da-15-7,1,23.0,23.0,0.0,-1.0,6.0,23.0,1.0,-7.0,17.0,0,0,0,0
user,da-15-7,2,-10.0,-10.0,-10.0,-10.0,4.0,0.0,0.0,-14.0,-14.0,0,0,0,0
user,da-15-7,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.0,-3.0,0,0,0,0
user,da-15-8,1,-10.0,-10.0,-10.0,0.0,51.0,0.0,-10.0,-51.0,-61.0,0,0,0,0
user,da-15-8,2,0.0,-10.0,-7.0,-4.666666666666671,82.0,7.0,-2.3333333333333286,-86.66666666666667,-82.0,0,0,0,0
user,da-15-8,3,-10.0,-10.0,7.0,7.0,-65.0,-17.0,0.0,72.0,55.0,0,0,0,0
user,da-16-1,1,0.0,0.0,0.0,-1.6666666666666714,0.0,0.0,1.6666666666666714,-1.6666666666666714,0.0,0,0,0,0
user,da-16-1,2,0.0,0.0,0.0,1.6666666666666714,0.0,0.0,-1.6666666666666714,1.6666666666666714,0.0,0,0,0,0
user,da-16-1,3,0.0,0.0,-13.0,-10.666666666666671,-4.0,13.0,-2.3333333333333286,-6.666666666666671,4.0,0,0,0,0
user,da-18-5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-18-5,2,0.0,0.0,-10.0,0.0,0.0,10.0,-10.0,0.0,0.0,0,0,0,0
user,da-18-5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-18-7,1,35.0,35.0,8.0,2.6666666666666714,8.0,27.0,5.333333333333329,-5.333333333333329,27.0,0,0,0,0
user,da-18-7,2,-8.0,-13.0,5.0,5.0,0.0,-13.0,0.0,5.0,-8.0,0,0,0,0
user,da-18-7,3,35.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0,0,0,0
user,da-19-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-19-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-19-1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
user,da-19-6,1,-23.0,-23.0,-54.0,-52.33333333333333,-50.0,31.0,-1.6666666666666679,-2.333333333333332,27.0,0,0,0,0
user,da-19-6,2,5.0,5.0,0.0,-6.333333333333332,-35.0,5.0,6.333333333333332,28.666666666666668,40.0,0,0,0,0
user,da-19-6,3,-5.0,-5.0,-36.0,-41.333333333333336,-17.0,31.0,5.333333333333336,-24.333333333333336,12.0,0,0,0,0
