setting,task_id,replicate,assignment_id,completion_cohort
user,da-12-2,1,da-12-2--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-12-2,2,da-12-2--rep-002--solver-luna--user-simulator-red-team-trace,second29
user,da-12-2,3,da-12-2--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-12-4,1,da-12-4--rep-001--solver-luna--user-simulator-red-team-trace,second29
user,da-12-4,2,da-12-4--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-12-4,3,da-12-4--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-13-1,1,da-13-1--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-13-1,2,da-13-1--rep-002--solver-luna--user-simulator-red-team-trace,final36
user,da-13-1,3,da-13-1--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-13-3,1,da-13-3--rep-001--solver-luna--user-simulator-red-team-trace,final36
user,da-13-3,2,da-13-3--rep-002--solver-luna--user-simulator-red-team-trace,second29
user,da-13-3,3,da-13-3--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-13-5,1,da-13-5--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-13-5,2,da-13-5--rep-002--solver-luna--user-simulator-red-team-trace,final36
user,da-13-5,3,da-13-5--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-13-6,1,da-13-6--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-13-6,2,da-13-6--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-13-6,3,da-13-6--rep-003--solver-luna--user-simulator-red-team-trace,second29
user,da-14-1,1,da-14-1--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-14-1,2,da-14-1--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-14-1,3,da-14-1--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-14-3,1,da-14-3--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-14-3,2,da-14-3--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-14-3,3,da-14-3--rep-003--solver-luna--user-simulator-red-team-trace,second29
user,da-14-8,1,da-14-8--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-14-8,2,da-14-8--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-14-8,3,da-14-8--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-15-1,1,da-15-1--rep-001--solver-luna--user-simulator-red-team-trace,final36
user,da-15-1,2,da-15-1--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-15-1,3,da-15-1--rep-003--solver-luna--user-simulator-red-team-trace,second29
user,da-15-2,1,da-15-2--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-15-2,2,da-15-2--rep-002--solver-luna--user-simulator-red-team-trace,final36
user,da-15-2,3,da-15-2--rep-003--solver-luna--user-simulator-red-team-trace,second29
user,da-15-7,1,da-15-7--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-15-7,2,da-15-7--rep-002--solver-luna--user-simulator-red-team-trace,final36
user,da-15-7,3,da-15-7--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-15-8,1,da-15-8--rep-001--solver-luna--user-simulator-red-team-trace,final36
user,da-15-8,2,da-15-8--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-15-8,3,da-15-8--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-16-1,1,da-16-1--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-16-1,2,da-16-1--rep-002--solver-luna--user-simulator-red-team-trace,second29
user,da-16-1,3,da-16-1--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-18-5,1,da-18-5--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-18-5,2,da-18-5--rep-002--solver-luna--user-simulator-red-team-trace,second29
user,da-18-5,3,da-18-5--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-18-7,1,da-18-7--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-18-7,2,da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-18-7,3,da-18-7--rep-003--solver-luna--user-simulator-red-team-trace,first55
user,da-19-1,1,da-19-1--rep-001--solver-luna--user-simulator-red-team-trace,final36
user,da-19-1,2,da-19-1--rep-002--solver-luna--user-simulator-red-team-trace,second29
user,da-19-1,3,da-19-1--rep-003--solver-luna--user-simulator-red-team-trace,final36
user,da-19-6,1,da-19-6--rep-001--solver-luna--user-simulator-red-team-trace,first55
user,da-19-6,2,da-19-6--rep-002--solver-luna--user-simulator-red-team-trace,first55
user,da-19-6,3,da-19-6--rep-003--solver-luna--user-simulator-red-team-trace,final36
