setting,task_id,replicate,original_any_positive,candidate_any_positive,original_positive_auditors,candidate_positive_auditors,original_verdict_pair,candidate_verdict_pair,coverage_transition
full,da-13-5,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-13-5,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-13-6,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-13-6,2,negative,positive,0,2,"[""negative"", ""negative""]","[""positive"", ""positive""]",none->none
full,da-13-6,3,positive,negative,1,0,"[""positive"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-14-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-14-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-14-1,3,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",admitted->admitted
full,da-14-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-14-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-14-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-14-8,1,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",none->admitted
full,da-14-8,2,positive,positive,1,2,"[""abstain"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
full,da-14-8,3,positive,negative,1,0,"[""abstain"", ""positive""]","[""negative"", ""negative""]",admitted->none
full,da-15-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-15-1,2,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",none->none
full,da-15-1,3,positive,positive,2,1,"[""positive"", ""positive""]","[""positive"", ""abstain""]",none->none
full,da-15-2,1,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",none->none
full,da-15-2,2,negative,positive,0,1,"[""negative"", ""negative""]","[""positive"", ""negative""]",none->admitted
full,da-15-2,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-15-7,1,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",admitted->none
full,da-15-7,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-15-7,3,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->none
full,da-15-8,1,positive,negative,1,0,"[""abstain"", ""positive""]","[""negative"", ""negative""]",none->none
full,da-15-8,2,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",none->admitted
full,da-15-8,3,negative,positive,0,2,"[""negative"", ""negative""]","[""positive"", ""positive""]",none->none
full,da-16-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-16-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-18-5,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-18-5,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-18-5,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-18-7,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-18-7,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-18-7,3,abstain,negative,0,0,"[""abstain"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
full,da-19-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-19-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
full,da-19-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-19-6,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
full,da-19-6,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
full,da-19-6,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-10-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-10-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-10-1,3,negative,positive,0,1,"[""negative"", ""negative""]","[""negative"", ""positive""]",admitted->admitted
user,da-10-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-10-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-10-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-12-2,1,positive,positive,1,2,"[""negative"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
user,da-12-2,2,positive,positive,1,2,"[""abstain"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
user,da-12-2,3,positive,positive,2,2,"[""positive"", ""positive""]","[""positive"", ""positive""]",admitted->admitted
user,da-12-4,1,abstain,negative,0,0,"[""negative"", ""abstain""]","[""negative"", ""negative""]",admitted->admitted
user,da-12-4,2,positive,positive,2,1,"[""positive"", ""positive""]","[""positive"", ""abstain""]",admitted->none
user,da-12-4,3,abstain,positive,0,2,"[""negative"", ""abstain""]","[""positive"", ""positive""]",admitted->admitted
user,da-13-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-13-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-13-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-13-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-13-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-13-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-13-5,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-13-5,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-13-5,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-13-6,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-13-6,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-13-6,3,negative,positive,0,1,"[""negative"", ""negative""]","[""positive"", ""negative""]",none->none
user,da-14-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-14-1,2,negative,positive,0,1,"[""negative"", ""negative""]","[""abstain"", ""positive""]",admitted->none
user,da-14-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-14-3,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-14-3,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-14-3,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-14-8,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-14-8,2,negative,positive,0,1,"[""negative"", ""negative""]","[""abstain"", ""positive""]",admitted->admitted
user,da-14-8,3,positive,negative,2,0,"[""positive"", ""positive""]","[""negative"", ""negative""]",none->admitted
user,da-15-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-15-1,2,negative,positive,0,1,"[""negative"", ""negative""]","[""positive"", ""negative""]",admitted->admitted
user,da-15-1,3,abstain,negative,0,0,"[""abstain"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-15-2,1,negative,positive,0,2,"[""negative"", ""negative""]","[""positive"", ""positive""]",admitted->admitted
user,da-15-2,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-15-2,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-15-7,1,negative,positive,0,1,"[""negative"", ""negative""]","[""abstain"", ""positive""]",admitted->none
user,da-15-7,2,negative,positive,0,1,"[""negative"", ""negative""]","[""positive"", ""negative""]",none->admitted
user,da-15-7,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-15-8,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-15-8,2,negative,positive,0,2,"[""negative"", ""negative""]","[""positive"", ""positive""]",admitted->none
user,da-15-8,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-16-1,1,negative,positive,0,1,"[""negative"", ""negative""]","[""negative"", ""positive""]",admitted->none
user,da-16-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-16-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-18-5,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-18-5,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-18-5,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-18-7,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-18-7,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->none
user,da-18-7,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-19-1,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",none->admitted
user,da-19-1,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-19-1,3,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-19-6,1,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->none
user,da-19-6,2,negative,negative,0,0,"[""negative"", ""negative""]","[""negative"", ""negative""]",admitted->admitted
user,da-19-6,3,positive,negative,1,0,"[""positive"", ""negative""]","[""negative"", ""negative""]",none->admitted
