arm,task_id,replicates,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,W_minus_S_aggregate_contribution,W_minus_A_aggregate_contribution
full,da-15-7,3,2.3333333333333335,2.3333333333333335,-1.3333333333333333,1.9444444444444453,-0.16666666666666666,3.6666666666666665,2.5,-3.2777777777777786,2.111111111111112,50.0,0.18333333333333332,0.125
full,da-15-8,3,0.0,0.0,-3.0,-4.388888888888888,-2.0,3.0,2.0,1.3888888888888882,-2.388888888888888,-16.666666666666668,0.15,0.1
full,da-16-1,3,0.0,0.0,9.333333333333334,8.166666666666664,4.0,-9.333333333333334,-4.0,1.166666666666669,4.166666666666664,0.0,-0.4666666666666667,-0.2
full,da-18-5,3,0.0,0.0,3.0,3.444444444444445,5.5,-3.0,-5.5,-0.44444444444444525,-2.055555555555555,-33.333333333333336,-0.15,-0.275
full,da-18-7,3,0.0,0.0,-3.3333333333333335,-2.2222222222222214,0.0,3.3333333333333335,0.0,-1.1111111111111118,-2.2222222222222214,0.0,0.16666666666666669,0.0
full,da-19-1,3,0.0,0.0,-3.8333333333333335,-2.944444444444443,1.0,3.8333333333333335,-1.0,-0.8888888888888905,-3.944444444444443,0.0,0.19166666666666668,-0.05
full,da-19-6,3,26.333333333333332,26.333333333333332,19.0,15.555555555555555,-2.1666666666666665,7.333333333333333,28.5,3.444444444444445,17.72222222222222,0.0,0.36666666666666664,1.425
user,da-10-1,3,5.0,5.0,7.666666666666667,11.277777777777777,10.833333333333334,-2.6666666666666665,-5.833333333333333,-3.6111111111111094,0.44444444444444287,0.0,-0.13333333333333333,-0.29166666666666663
user,da-10-3,3,3.3333333333333335,3.3333333333333335,-7.666666666666667,-7.0,14.166666666666666,11.0,-10.833333333333334,-0.6666666666666666,-21.166666666666668,0.0,0.55,-0.5416666666666667
user,da-12-2,3,18.333333333333332,18.333333333333332,20.0,15.000000000000002,-0.5,-1.6666666666666667,18.833333333333332,4.999999999999999,15.500000000000002,-16.666666666666668,-0.08333333333333334,0.9416666666666667
user,da-12-4,3,9.666666666666666,9.666666666666666,4.666666666666667,4.388888888888888,-7.5,5.0,17.166666666666668,0.27777777777777857,11.888888888888888,0.0,0.25,0.8583333333333334
user,da-13-1,3,0.0,0.0,7.5,5.0555555555555545,1.0,-7.5,-1.0,2.444444444444445,4.0555555555555545,0.0,-0.375,-0.05
user,da-13-3,3,0.0,0.0,-6.0,-6.777777777777779,-1.1666666666666667,6.0,1.1666666666666667,0.7777777777777786,-5.611111111111112,0.0,0.3,0.058333333333333334
user,da-13-5,3,3.3333333333333335,3.3333333333333335,-13.333333333333334,-10.0,0.5,16.666666666666668,2.8333333333333335,-3.3333333333333335,-10.5,0.0,0.8333333333333334,0.14166666666666666
user,da-13-6,3,-5.0,-5.0,-6.666666666666667,0.2777777777777774,-0.6666666666666666,1.6666666666666667,-4.333333333333333,-6.944444444444444,0.9444444444444441,0.0,0.08333333333333334,-0.21666666666666665
user,da-14-1,3,0.0,0.0,3.3333333333333335,5.222222222222221,-1.8333333333333333,-3.3333333333333335,1.8333333333333333,-1.8888888888888882,7.0555555555555545,0.0,-0.16666666666666669,0.09166666666666666
user,da-14-3,3,0.0,0.0,0.0,-1.8333333333333333,0.3333333333333333,0.0,-0.3333333333333333,1.8333333333333333,-2.1666666666666665,0.0,0.0,-0.016666666666666666
user,da-14-8,3,3.3333333333333335,3.3333333333333335,10.0,10.166666666666668,-1.1666666666666667,-6.666666666666667,4.5,-0.16666666666666785,11.333333333333334,-33.333333333333336,-0.33333333333333337,0.225
user,da-15-1,3,6.666666666666667,6.666666666666667,-6.166666666666667,-6.666666666666668,1.5,12.833333333333334,5.166666666666667,0.5000000000000012,-8.166666666666668,-83.33333333333333,0.6416666666666667,0.25833333333333336
user,da-15-2,3,-5.333333333333333,-7.0,-12.166666666666666,-3.888888888888888,0.16666666666666666,6.833333333333333,-5.5,-8.277777777777779,-4.0555555555555545,-33.333333333333336,0.3416666666666667,-0.275
user,da-15-7,3,0.0,0.0,2.5,3.055555555555556,16.333333333333332,-2.5,-16.333333333333332,-0.5555555555555559,-13.277777777777777,-33.333333333333336,-0.125,-0.8166666666666667
user,da-15-8,3,-3.3333333333333335,-3.3333333333333335,-1.6666666666666667,-1.8333333333333333,-15.5,-1.6666666666666667,12.166666666666666,0.16666666666666666,13.666666666666666,-16.666666666666668,-0.08333333333333334,0.6083333333333333
user,da-16-1,3,0.0,0.0,-2.1666666666666665,-1.1666666666666667,6.166666666666667,2.1666666666666665,-6.166666666666667,-1.0,-7.333333333333333,0.0,0.10833333333333332,-0.30833333333333335
user,da-18-5,3,0.0,0.0,3.3333333333333335,7.222222222222224,-9.5,-3.3333333333333335,9.5,-3.8888888888888906,16.722222222222225,-16.666666666666668,-0.16666666666666669,0.475
user,da-18-7,3,28.333333333333332,28.333333333333332,21.5,17.500000000000004,6.666666666666667,6.833333333333333,21.666666666666668,3.999999999999998,10.833333333333336,0.0,0.3416666666666667,1.0833333333333335
user,da-19-1,3,0.0,0.0,0.0,-2.2222222222222214,-0.5,0.0,0.5,2.2222222222222214,-1.7222222222222214,0.0,0.0,0.025
user,da-19-6,3,2.6666666666666665,2.6666666666666665,-0.3333333333333333,-0.33333333333333454,-6.166666666666667,3.0,8.833333333333334,0.0,5.833333333333332,0.0,0.15,0.4416666666666667
