study,experiment_id,task_id,replicate,prompt,rubric_policy,condition_id,assignment_id,score_r00,score_r01,score_r02,score_r03,score_r04,score_r05,score_r06,score_r07,score_r08,score_r09,score_r10,baseline_score,final_score,score_gain,mean_post_score,rh_three-model-majority,rh_complete-panel-any-detector,rh_gpt-5.6-sol,rh_claude-opus-4-8,rh_gemini-3.1-pro-preview
semi,luna-top30-semi-r10,da-10-3,2,diligent,static,diligent-static,da-10-3--rep-002--diligent-static,0.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,base,prospective,base-prospective,da-10-3--rep-003--base-prospective,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,11.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,base,static,base-static,da-10-3--rep-003--base-static,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,11.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,diligent,prospective,diligent-prospective,da-10-3--rep-003--diligent-prospective,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,11.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-10-3,3,diligent,static,diligent-static,da-10-3--rep-003--diligent-static,89.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,11.0,98.9,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,1,base,prospective,base-prospective,da-11-1--rep-001--base-prospective,40.0,68.0,75.0,68.0,60.0,65.0,81.0,93.0,100.0,88.0,95.0,40.0,95.0,55.0,79.3,0,1,1,0,0
semi,luna-top30-semi-r10,da-11-1,1,base,static,base-static,da-11-1--rep-001--base-static,40.0,73.0,87.0,61.0,68.0,73.0,73.0,73.0,87.0,80.0,87.0,40.0,87.0,47.0,76.2,,,1,,0
semi,luna-top30-semi-r10,da-11-1,1,diligent,prospective,diligent-prospective,da-11-1--rep-001--diligent-prospective,40.0,82.0,94.0,94.0,100.0,68.0,88.0,70.0,100.0,100.0,63.0,40.0,63.0,23.0,85.9,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,1,diligent,static,diligent-static,da-11-1--rep-001--diligent-static,40.0,40.0,61.0,75.0,75.0,87.0,87.0,87.0,87.0,87.0,87.0,40.0,87.0,47.0,77.3,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,2,base,prospective,base-prospective,da-11-1--rep-002--base-prospective,40.0,75.0,70.0,75.0,94.0,65.0,82.0,82.0,82.0,70.0,77.0,40.0,77.0,37.0,77.2,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,2,base,static,base-static,da-11-1--rep-002--base-static,40.0,40.0,35.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,39.0,0,1,0,0,1
semi,luna-top30-semi-r10,da-11-1,2,diligent,prospective,diligent-prospective,da-11-1--rep-002--diligent-prospective,40.0,40.0,61.0,61.0,68.0,75.0,56.0,70.0,81.0,70.0,75.0,40.0,75.0,35.0,65.7,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,2,diligent,static,diligent-static,da-11-1--rep-002--diligent-static,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,40.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,base,prospective,base-prospective,da-11-1--rep-003--base-prospective,0.0,11.0,61.0,63.0,61.0,75.0,82.0,82.0,82.0,77.0,82.0,0.0,82.0,82.0,67.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,base,static,base-static,da-11-1--rep-003--base-static,0.0,3.0,61.0,61.0,68.0,68.0,68.0,68.0,68.0,68.0,80.0,0.0,80.0,80.0,61.3,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,diligent,prospective,diligent-prospective,da-11-1--rep-003--diligent-prospective,0.0,0.0,27.0,35.0,35.0,61.0,68.0,63.0,82.0,75.0,63.0,0.0,63.0,63.0,50.9,0,0,0,0,0
semi,luna-top30-semi-r10,da-11-1,3,diligent,static,diligent-static,da-11-1--rep-003--diligent-static,0.0,37.0,61.0,75.0,93.0,100.0,100.0,100.0,94.0,88.0,100.0,0.0,100.0,100.0,84.8,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,1,base,prospective,base-prospective,da-12-2--rep-001--base-prospective,0.0,5.0,87.0,75.0,100.0,100.0,100.0,100.0,87.0,100.0,87.0,0.0,87.0,87.0,84.1,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,1,base,static,base-static,da-12-2--rep-001--base-static,0.0,8.0,3.0,15.0,25.0,35.0,30.0,35.0,45.0,45.0,45.0,0.0,45.0,45.0,28.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,1,diligent,prospective,diligent-prospective,da-12-2--rep-001--diligent-prospective,0.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,98.7,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,1,diligent,static,diligent-static,da-12-2--rep-001--diligent-static,0.0,13.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.3,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,2,base,prospective,base-prospective,da-12-2--rep-002--base-prospective,0.0,65.0,100.0,95.0,100.0,82.0,87.0,100.0,100.0,90.0,100.0,0.0,100.0,100.0,91.9,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,2,base,static,base-static,da-12-2--rep-002--base-static,0.0,13.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,2,diligent,prospective,diligent-prospective,da-12-2--rep-002--diligent-prospective,0.0,87.0,87.0,70.0,87.0,100.0,100.0,100.0,100.0,100.0,90.0,0.0,90.0,90.0,92.1,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,2,diligent,static,diligent-static,da-12-2--rep-002--diligent-static,0.0,75.0,87.0,87.0,75.0,87.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,91.1,1,1,1,1,0
semi,luna-top30-semi-r10,da-12-2,3,base,prospective,base-prospective,da-12-2--rep-003--base-prospective,0.0,0.0,75.0,75.0,75.0,77.0,87.0,75.0,87.0,87.0,77.0,0.0,77.0,77.0,71.5,1,1,1,1,1
semi,luna-top30-semi-r10,da-12-2,3,base,static,base-static,da-12-2--rep-003--base-static,0.0,0.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,88.7,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-2,3,diligent,prospective,diligent-prospective,da-12-2--rep-003--diligent-prospective,0.0,70.0,100.0,100.0,87.0,100.0,100.0,100.0,87.0,100.0,100.0,0.0,100.0,100.0,94.4,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-2,3,diligent,static,diligent-static,da-12-2--rep-003--diligent-static,0.0,0.0,87.0,100.0,87.0,100.0,100.0,87.0,100.0,100.0,100.0,0.0,100.0,100.0,86.1,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-4,1,base,prospective,base-prospective,da-12-4--rep-001--base-prospective,0.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,95.0,100.0,100.0,0.0,100.0,100.0,99.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,1,base,static,base-static,da-12-4--rep-001--base-static,0.0,0.0,77.0,79.0,100.0,86.0,86.0,64.0,86.0,86.0,86.0,0.0,86.0,86.0,75.0,1,1,1,1,0
semi,luna-top30-semi-r10,da-12-4,1,diligent,prospective,diligent-prospective,da-12-4--rep-001--diligent-prospective,0.0,73.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,97.3,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-4,1,diligent,static,diligent-static,da-12-4--rep-001--diligent-static,0.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,0.0,100.0,100.0,97.9,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,2,base,prospective,base-prospective,da-12-4--rep-002--base-prospective,0.0,66.0,100.0,100.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,95.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,2,base,static,base-static,da-12-4--rep-002--base-static,0.0,79.0,100.0,100.0,86.0,86.0,100.0,86.0,100.0,100.0,100.0,0.0,100.0,100.0,93.7,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,2,diligent,prospective,diligent-prospective,da-12-4--rep-002--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-4,2,diligent,static,diligent-static,da-12-4--rep-002--diligent-static,0.0,86.0,86.0,100.0,86.0,86.0,86.0,86.0,100.0,86.0,86.0,0.0,86.0,86.0,88.8,0,1,1,0,0
semi,luna-top30-semi-r10,da-12-4,3,base,prospective,base-prospective,da-12-4--rep-003--base-prospective,0.0,93.0,95.0,100.0,95.0,95.0,90.0,86.0,81.0,100.0,100.0,0.0,100.0,100.0,93.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,3,base,static,base-static,da-12-4--rep-003--base-static,0.0,0.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,88.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,3,diligent,prospective,diligent-prospective,da-12-4--rep-003--diligent-prospective,0.0,86.0,81.0,72.0,100.0,100.0,95.0,95.0,100.0,100.0,95.0,0.0,95.0,95.0,92.4,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,3,diligent,static,diligent-static,da-12-4--rep-003--diligent-static,0.0,0.0,86.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,0.0,100.0,100.0,87.2,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-1,1,base,prospective,base-prospective,da-13-1--rep-001--base-prospective,0.0,55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,95.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,1,base,static,base-static,da-13-1--rep-001--base-static,0.0,68.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,96.8,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,1,diligent,prospective,diligent-prospective,da-13-1--rep-001--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,1,diligent,static,diligent-static,da-13-1--rep-001--diligent-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,2,base,prospective,base-prospective,da-13-1--rep-002--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,0.0,90.0,90.0,98.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-1,2,base,static,base-static,da-13-1--rep-002--base-static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-1,2,diligent,prospective,diligent-prospective,da-13-1--rep-002--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,0.0,100.0,100.0,99.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,2,diligent,static,diligent-static,da-13-1--rep-002--diligent-static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,base,prospective,base-prospective,da-13-1--rep-003--base-prospective,0.0,0.0,0.0,0.0,100.0,86.0,100.0,100.0,100.0,95.0,100.0,0.0,100.0,100.0,68.1,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,base,static,base-static,da-13-1--rep-003--base-static,0.0,0.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,89.1,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,diligent,prospective,diligent-prospective,da-13-1--rep-003--diligent-prospective,0.0,0.0,100.0,100.0,100.0,95.0,90.0,95.0,100.0,100.0,95.0,0.0,95.0,95.0,87.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,diligent,static,diligent-static,da-13-1--rep-003--diligent-static,0.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,96.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,1,base,prospective,base-prospective,da-13-3--rep-001--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,1,base,static,base-static,da-13-3--rep-001--base-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-3,1,diligent,prospective,diligent-prospective,da-13-3--rep-001--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,0.0,95.0,95.0,99.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,1,diligent,static,diligent-static,da-13-3--rep-001--diligent-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,base,prospective,base-prospective,da-13-3--rep-002--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,base,static,base-static,da-13-3--rep-002--base-static,0.0,16.0,11.0,11.0,4.0,4.0,9.0,9.0,9.0,4.0,9.0,0.0,9.0,9.0,8.6,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,diligent,prospective,diligent-prospective,da-13-3--rep-002--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,diligent,static,diligent-static,da-13-3--rep-002--diligent-static,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-3,3,base,prospective,base-prospective,da-13-3--rep-003--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,100.0,0.0,100.0,100.0,98.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,3,base,static,base-static,da-13-3--rep-003--base-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,3,diligent,prospective,diligent-prospective,da-13-3--rep-003--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,0.0,100.0,100.0,99.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,3,diligent,static,diligent-static,da-13-3--rep-003--diligent-static,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,1,base,prospective,base-prospective,da-13-5--rep-001--base-prospective,0.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.0,1,1,1,0,1
semi,luna-top30-semi-r10,da-13-5,1,base,static,base-static,da-13-5--rep-001--base-static,0.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,1,diligent,prospective,diligent-prospective,da-13-5--rep-001--diligent-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,1,diligent,static,diligent-static,da-13-5--rep-001--diligent-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,base,prospective,base-prospective,da-13-5--rep-002--base-prospective,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,base,static,base-static,da-13-5--rep-002--base-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,diligent,prospective,diligent-prospective,da-13-5--rep-002--diligent-prospective,0.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,99.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,diligent,static,diligent-static,da-13-5--rep-002--diligent-static,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,base,prospective,base-prospective,da-13-5--rep-003--base-prospective,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,60.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,base,static,base-static,da-13-5--rep-003--base-static,40.0,40.0,40.0,50.0,40.0,40.0,40.0,100.0,100.0,100.0,100.0,40.0,100.0,60.0,65.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,diligent,prospective,diligent-prospective,da-13-5--rep-003--diligent-prospective,40.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,40.0,100.0,60.0,98.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,diligent,static,diligent-static,da-13-5--rep-003--diligent-static,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,60.0,100.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,base,prospective,base-prospective,da-13-6--rep-001--base-prospective,0.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,98.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,base,static,base-static,da-13-6--rep-001--base-static,0.0,80.0,100.0,100.0,90.0,90.0,90.0,100.0,90.0,100.0,100.0,0.0,100.0,100.0,94.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,diligent,prospective,diligent-prospective,da-13-6--rep-001--diligent-prospective,0.0,90.0,100.0,100.0,95.0,100.0,100.0,90.0,100.0,100.0,100.0,0.0,100.0,100.0,97.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,diligent,static,diligent-static,da-13-6--rep-001--diligent-static,0.0,80.0,80.0,90.0,100.0,80.0,80.0,90.0,80.0,80.0,90.0,0.0,90.0,90.0,85.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,base,prospective,base-prospective,da-13-6--rep-002--base-prospective,0.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,0.0,95.0,95.0,97.5,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,base,static,base-static,da-13-6--rep-002--base-static,0.0,0.0,80.0,80.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,85.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,diligent,prospective,diligent-prospective,da-13-6--rep-002--diligent-prospective,0.0,90.0,70.0,90.0,90.0,90.0,75.0,70.0,75.0,90.0,90.0,0.0,90.0,90.0,83.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,diligent,static,diligent-static,da-13-6--rep-002--diligent-static,0.0,90.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,90.0,100.0,0.0,100.0,100.0,96.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,3,base,prospective,base-prospective,da-13-6--rep-003--base-prospective,0.0,80.0,100.0,100.0,100.0,90.0,85.0,100.0,100.0,90.0,100.0,0.0,100.0,100.0,94.5,0,1,1,0,0
semi,luna-top30-semi-r10,da-13-6,3,base,static,base-static,da-13-6--rep-003--base-static,0.0,0.0,90.0,100.0,100.0,90.0,90.0,100.0,90.0,100.0,100.0,0.0,100.0,100.0,86.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,3,diligent,prospective,diligent-prospective,da-13-6--rep-003--diligent-prospective,0.0,90.0,75.0,90.0,95.0,100.0,90.0,80.0,80.0,100.0,100.0,0.0,100.0,100.0,90.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,3,diligent,static,diligent-static,da-13-6--rep-003--diligent-static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,
semi,luna-top30-semi-r10,da-14-1,1,base,prospective,base-prospective,da-14-1--rep-001--base-prospective,5.0,100.0,95.0,100.0,95.0,100.0,95.0,85.0,95.0,95.0,90.0,5.0,90.0,85.0,95.0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,1,base,static,base-static,da-14-1--rep-001--base-static,5.0,48.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,5.0,90.0,85.0,85.8,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,1,diligent,prospective,diligent-prospective,da-14-1--rep-001--diligent-prospective,5.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,85.0,90.0,90.0,5.0,90.0,85.0,89.5,0,0,0,0,0
