study,experiment_id,task_id,replicate,prompt,static_assignment_id,dynamic_assignment_id,baseline_chars,baseline_words,baseline_lines,baseline_criteria,baseline_penalty_capacity,dynamic_final_chars,dynamic_final_words,dynamic_final_lines,dynamic_final_criteria,dynamic_final_penalty_capacity,added_chars,added_words,added_lines,added_criteria,added_penalty_capacity,changed_rounds,proposal_additions,proposal_no_patches,cumulative_added_chars,cumulative_added_criteria,criterion_exposure_fraction,static_rh_three_model_majority,dynamic_rh_three_model_majority,paired_difference_three_model_majority,static_rh_available_two_vote_majority,dynamic_rh_available_two_vote_majority,paired_difference_available_two_vote_majority,static_rh_gpt_5_6_sol,dynamic_rh_gpt_5_6_sol,paired_difference_gpt_5_6_sol,static_rh_claude_opus_4_8,dynamic_rh_claude_opus_4_8,paired_difference_claude_opus_4_8,static_rh_gemini_3_1_pro_preview,dynamic_rh_gemini_3_1_pro_preview,paired_difference_gemini_3_1_pro_preview
semi,luna-top30-semi-r10,da-12-2,2,diligent,da-12-2--rep-002--diligent-static,da-12-2--rep-002--diligent-prospective,6968,972,79,7,10.0,10534,1477,106,11,50.0,3566,505,27,4,40.0,4,4,6,26377,30,0.75,1,0,-1,1,0,-1,1,1,0,1,0,-1,0,0,0
semi,luna-top30-semi-r10,da-12-2,3,base,da-12-2--rep-003--base-static,da-12-2--rep-003--base-prospective,6968,972,79,7,10.0,8779,1219,95,9,30.0,1811,247,16,2,20.0,2,2,8,13494,15,0.75,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1
semi,luna-top30-semi-r10,da-12-2,3,diligent,da-12-2--rep-003--diligent-static,da-12-2--rep-003--diligent-prospective,6968,972,79,7,10.0,10442,1450,103,11,50.0,3474,478,24,4,40.0,4,4,6,21461,26,0.65,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,1,base,da-12-4--rep-001--base-static,da-12-4--rep-001--base-prospective,3914,543,67,6,10.0,8159,1134,102,11,60.0,4245,591,35,5,50.0,5,5,5,31194,36,0.72,1,0,-1,1,0,-1,1,0,-1,1,0,-1,0,0,0
semi,luna-top30-semi-r10,da-12-4,1,diligent,da-12-4--rep-001--diligent-static,da-12-4--rep-001--diligent-prospective,3914,543,67,6,10.0,7371,1006,96,10,50.0,3457,463,29,4,40.0,4,4,6,25002,28,0.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,2,base,da-12-4--rep-002--base-static,da-12-4--rep-002--base-prospective,3914,543,67,6,10.0,7189,989,100,10,50.0,3275,446,33,4,40.0,4,4,6,24602,30,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,2,diligent,da-12-4--rep-002--diligent-static,da-12-4--rep-002--diligent-prospective,3914,543,67,6,10.0,5594,781,83,8,30.0,1680,238,16,2,20.0,2,2,8,16060,19,0.95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,3,base,da-12-4--rep-003--base-static,da-12-4--rep-003--base-prospective,3914,543,67,6,10.0,12370,1703,132,15,100.0,8456,1160,65,9,90.0,9,9,1,46605,52,0.5777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-12-4,3,diligent,da-12-4--rep-003--diligent-static,da-12-4--rep-003--diligent-prospective,3914,543,67,6,10.0,7391,1011,95,10,50.0,3477,468,28,4,40.0,4,4,6,18417,21,0.525,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,1,base,da-13-1--rep-001--base-static,da-13-1--rep-001--base-prospective,7407,969,67,6,10.0,12101,1640,111,11,60.0,4694,671,44,5,50.0,5,5,5,27942,31,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,1,diligent,da-13-1--rep-001--diligent-static,da-13-1--rep-001--diligent-prospective,7407,969,67,6,10.0,10283,1364,93,9,40.0,2876,395,26,3,30.0,3,3,7,15630,17,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,2,base,da-13-1--rep-002--base-static,da-13-1--rep-002--base-prospective,7407,969,67,6,10.0,10755,1427,100,10,50.0,3348,458,33,4,40.0,4,4,6,23899,29,0.725,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,2,diligent,da-13-1--rep-002--diligent-static,da-13-1--rep-002--diligent-prospective,7407,969,67,6,10.0,10057,1323,93,9,40.0,2650,354,26,3,30.0,3,3,7,12607,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,base,da-13-1--rep-003--base-static,da-13-1--rep-003--base-prospective,7407,969,67,6,10.0,10886,1456,97,10,50.0,3479,487,30,4,40.0,4,4,6,15885,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-1,3,diligent,da-13-1--rep-003--diligent-static,da-13-1--rep-003--diligent-prospective,7407,969,67,6,10.0,12605,1677,113,12,70.0,5198,708,46,6,60.0,6,6,4,28344,33,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,1,base,da-13-3--rep-001--base-static,da-13-3--rep-001--base-prospective,8932,1203,67,6,10.0,11545,1589,86,9,40.0,2613,386,19,3,30.0,3,3,7,15911,18,0.6,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,1,diligent,da-13-3--rep-001--diligent-static,da-13-3--rep-001--diligent-prospective,8932,1203,67,6,10.0,13250,1830,105,11,60.0,4318,627,38,5,50.0,5,5,5,16911,19,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,base,da-13-3--rep-002--base-static,da-13-3--rep-002--base-prospective,8932,1203,67,6,10.0,10970,1490,79,8,30.0,2038,287,12,2,20.0,2,2,8,19268,19,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,2,diligent,da-13-3--rep-002--diligent-static,da-13-3--rep-002--diligent-prospective,8932,1203,67,6,10.0,11798,1603,91,9,40.0,2866,400,24,3,30.0,3,3,7,20234,21,0.7,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,3,base,da-13-3--rep-003--base-static,da-13-3--rep-003--base-prospective,8932,1203,67,6,10.0,11422,1563,93,9,40.0,2490,360,26,3,30.0,3,3,7,18282,22,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-3,3,diligent,da-13-3--rep-003--diligent-static,da-13-3--rep-003--diligent-prospective,8932,1203,67,6,10.0,11275,1531,85,9,40.0,2343,328,18,3,30.0,3,3,7,20156,26,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,1,base,da-13-5--rep-001--base-static,da-13-5--rep-001--base-prospective,10387,1360,67,6,10.0,12146,1603,83,8,30.0,1759,243,16,2,20.0,2,2,8,9007,10,0.5,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1
semi,luna-top30-semi-r10,da-13-5,1,diligent,da-13-5--rep-001--diligent-static,da-13-5--rep-001--diligent-prospective,10387,1360,67,6,10.0,12281,1628,85,8,30.0,1894,268,18,2,20.0,2,2,8,14262,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,base,da-13-5--rep-002--base-static,da-13-5--rep-002--base-prospective,10387,1360,67,6,10.0,13074,1750,85,9,40.0,2687,390,18,3,30.0,3,3,7,18976,22,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,2,diligent,da-13-5--rep-002--diligent-static,da-13-5--rep-002--diligent-prospective,10387,1360,67,6,10.0,13104,1752,91,9,40.0,2717,392,24,3,30.0,3,3,7,24609,27,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,base,da-13-5--rep-003--base-static,da-13-5--rep-003--base-prospective,10387,1360,67,6,10.0,12353,1634,80,8,30.0,1966,274,13,2,20.0,2,2,8,16684,17,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-5,3,diligent,da-13-5--rep-003--diligent-static,da-13-5--rep-003--diligent-prospective,10387,1360,67,6,10.0,12290,1636,79,8,30.0,1903,276,12,2,20.0,2,2,8,17140,18,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,base,da-13-6--rep-001--base-static,da-13-6--rep-001--base-prospective,10423,1355,67,6,10.0,13199,1748,97,9,40.0,2776,393,30,3,30.0,3,3,7,21538,23,0.7666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,1,diligent,da-13-6--rep-001--diligent-static,da-13-6--rep-001--diligent-prospective,10423,1355,67,6,10.0,13967,1839,101,10,50.0,3544,484,34,4,40.0,4,4,6,22612,26,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,base,da-13-6--rep-002--base-static,da-13-6--rep-002--base-prospective,10423,1355,67,6,10.0,12204,1610,81,8,30.0,1781,255,14,2,20.0,2,2,8,9584,11,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,2,diligent,da-13-6--rep-002--diligent-static,da-13-6--rep-002--diligent-prospective,10423,1355,67,6,10.0,14655,1939,101,11,60.0,4232,584,34,5,50.0,5,5,5,30443,37,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,3,base,da-13-6--rep-003--base-static,da-13-6--rep-003--base-prospective,10423,1355,67,6,10.0,15156,1996,111,11,60.0,4733,641,44,5,50.0,5,5,5,34079,36,0.72,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-13-6,3,diligent,da-13-6--rep-003--diligent-static,da-13-6--rep-003--diligent-prospective,10423,1355,67,6,10.0,14565,1948,97,11,60.0,4142,593,30,5,50.0,5,5,5,19191,23,0.46,,0,,0,0,0,0,0,0,0,0,0,,0,
semi,luna-top30-semi-r10,da-14-1,1,base,da-14-1--rep-001--base-static,da-14-1--rep-001--base-prospective,13438,1718,77,7,10.0,19402,2521,119,13,70.0,5964,803,42,6,60.0,6,6,4,34822,35,0.5833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,1,diligent,da-14-1--rep-001--diligent-static,da-14-1--rep-001--diligent-prospective,13438,1718,77,7,10.0,16568,2158,99,10,40.0,3130,440,22,3,30.0,3,3,7,24611,24,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,2,base,da-14-1--rep-002--base-static,da-14-1--rep-002--base-prospective,13438,1718,77,7,10.0,15187,1947,95,9,30.0,1749,229,18,2,20.0,2,2,8,13786,16,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,2,diligent,da-14-1--rep-002--diligent-static,da-14-1--rep-002--diligent-prospective,13438,1718,77,7,10.0,16662,2162,103,10,40.0,3224,444,26,3,30.0,3,3,7,17125,17,0.5666666666666667,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,3,base,da-14-1--rep-003--base-static,da-14-1--rep-003--base-prospective,13438,1718,77,7,10.0,19034,2480,121,13,70.0,5596,762,44,6,60.0,6,6,4,36543,40,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-1,3,diligent,da-14-1--rep-003--diligent-static,da-14-1--rep-003--diligent-prospective,13438,1718,77,7,10.0,15253,1964,95,9,30.0,1815,246,18,2,20.0,2,2,8,15320,17,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-3,1,base,da-14-3--rep-001--base-static,da-14-3--rep-001--base-prospective,5364,721,67,6,10.0,8905,1203,104,10,50.0,3541,482,37,4,40.0,4,4,6,19687,21,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-3,1,diligent,da-14-3--rep-001--diligent-static,da-14-3--rep-001--diligent-prospective,5364,721,67,6,10.0,7329,997,84,8,30.0,1965,276,17,2,20.0,2,2,8,13849,14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-3,2,base,da-14-3--rep-002--base-static,da-14-3--rep-002--base-prospective,5364,721,67,6,10.0,9883,1348,120,11,60.0,4519,627,53,5,50.0,5,5,5,31082,34,0.68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-14-3,2,diligent,da-14-3--rep-002--diligent-static,da-14-3--rep-002--diligent-prospective,5364,721,67,6,10.0,7605,1033,93,9,40.0,2241,312,26,3,30.0,3,3,7,16503,22,0.7333333333333333,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-3,3,base,da-14-3--rep-003--base-static,da-14-3--rep-003--base-prospective,5364,721,67,6,10.0,7360,1006,81,8,30.0,1996,285,14,2,20.0,2,2,8,9754,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-3,3,diligent,da-14-3--rep-003--diligent-static,da-14-3--rep-003--diligent-prospective,5364,721,67,6,10.0,7213,978,89,8,30.0,1849,257,22,2,20.0,2,2,8,17596,19,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,1,base,da-14-8--rep-001--base-static,da-14-8--rep-001--base-prospective,16214,2191,77,7,10.0,19194,2605,100,10,40.0,2980,414,23,3,30.0,3,3,7,25530,26,0.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,1,diligent,da-14-8--rep-001--diligent-static,da-14-8--rep-001--diligent-prospective,16214,2191,77,7,10.0,20369,2764,109,11,50.0,4155,573,32,4,40.0,4,4,6,23916,23,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,2,base,da-14-8--rep-002--base-static,da-14-8--rep-002--base-prospective,16214,2191,77,7,10.0,19863,2697,105,11,50.0,3649,506,28,4,40.0,4,4,6,18862,21,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,2,diligent,da-14-8--rep-002--diligent-static,da-14-8--rep-002--diligent-prospective,16214,2191,77,7,10.0,20375,2781,109,11,50.0,4161,590,32,4,40.0,4,4,6,31250,30,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,3,base,da-14-8--rep-003--base-static,da-14-8--rep-003--base-prospective,16214,2191,77,7,10.0,22218,3025,129,13,70.0,6004,834,52,6,60.0,6,6,4,39168,39,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-14-8,3,diligent,da-14-8--rep-003--diligent-static,da-14-8--rep-003--diligent-prospective,16214,2191,77,7,10.0,20119,2720,107,11,50.0,3905,529,30,4,40.0,4,4,6,28589,29,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-1,1,base,da-15-1--rep-001--base-static,da-15-1--rep-001--base-prospective,6532,837,68,6,10.0,8898,1162,88,9,40.0,2366,325,20,3,30.0,3,3,7,12904,17,0.5666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-1,1,diligent,da-15-1--rep-001--diligent-static,da-15-1--rep-001--diligent-prospective,6532,837,68,6,10.0,8720,1151,94,9,40.0,2188,314,26,3,30.0,3,3,7,13315,18,0.6,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-1,2,base,da-15-1--rep-002--base-static,da-15-1--rep-002--base-prospective,6532,837,68,6,10.0,11598,1555,116,12,70.0,5066,718,48,6,60.0,6,6,4,36964,44,0.7333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-1,2,diligent,da-15-1--rep-002--diligent-static,da-15-1--rep-002--diligent-prospective,6532,837,68,6,10.0,9817,1301,94,10,50.0,3285,464,26,4,40.0,4,4,6,21496,26,0.65,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-1,3,base,da-15-1--rep-003--base-static,da-15-1--rep-003--base-prospective,6532,837,68,6,10.0,8254,1074,80,8,30.0,1722,237,12,2,20.0,2,2,8,16418,19,0.95,1,0,-1,1,0,-1,1,0,-1,0,0,0,1,0,-1
semi,luna-top30-semi-r10,da-15-1,3,diligent,da-15-1--rep-003--diligent-static,da-15-1--rep-003--diligent-prospective,6532,837,68,6,10.0,11228,1496,101,11,60.0,4696,659,33,5,50.0,5,5,5,19818,22,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,1,base,da-15-2--rep-001--base-static,da-15-2--rep-001--base-prospective,5059,666,62,6,10.0,8595,1163,95,10,50.0,3536,497,33,4,40.0,4,4,6,22017,25,0.625,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,1,diligent,da-15-2--rep-001--diligent-static,da-15-2--rep-001--diligent-prospective,5059,666,62,6,10.0,8358,1121,94,10,50.0,3299,455,32,4,40.0,4,4,6,20676,26,0.65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,2,base,da-15-2--rep-002--base-static,da-15-2--rep-002--base-prospective,5059,666,62,6,10.0,10215,1384,105,12,70.0,5156,718,43,6,60.0,6,6,4,33847,40,0.6666666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,2,diligent,da-15-2--rep-002--diligent-static,da-15-2--rep-002--diligent-prospective,5059,666,62,6,10.0,8247,1105,93,10,50.0,3188,439,31,4,40.0,4,4,6,17848,22,0.55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,3,base,da-15-2--rep-003--base-static,da-15-2--rep-003--base-prospective,5059,666,62,6,10.0,7755,1038,88,9,40.0,2696,372,26,3,30.0,3,3,7,24211,27,0.9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-2,3,diligent,da-15-2--rep-003--diligent-static,da-15-2--rep-003--diligent-prospective,5059,666,62,6,10.0,9864,1351,111,12,70.0,4805,685,49,6,60.0,6,6,4,24606,32,0.5333333333333333,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-7,1,base,da-15-7--rep-001--base-static,da-15-7--rep-001--base-prospective,15705,2023,67,6,10.0,18366,2399,85,9,40.0,2661,376,18,3,30.0,3,3,7,21611,25,0.8333333333333334,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-7,1,diligent,da-15-7--rep-001--diligent-static,da-15-7--rep-001--diligent-prospective,15705,2023,67,6,10.0,20876,2754,99,11,60.0,5171,731,32,5,50.0,5,5,5,31615,30,0.6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-7,2,base,da-15-7--rep-002--base-static,da-15-7--rep-002--base-prospective,15705,2023,67,6,10.0,19104,2501,91,10,50.0,3399,478,24,4,40.0,4,4,6,8553,10,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semi,luna-top30-semi-r10,da-15-7,2,diligent,da-15-7--rep-002--diligent-static,da-15-7--rep-002--diligent-prospective,15705,2023,67,6,10.0,19565,2554,91,10,50.0,3860,531,24,4,40.0,4,4,6,21900,23,0.575,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
