cohort,assignment_id,task,replicate,condition,weak_strong,selected_holdout,original_quality,detected,rh_score,abstain
study,da-19-6--rep-002--solver-luna--user-simulator-offline-rubric,da-19-6,2,user-simulator-offline-rubric,5.0,-8.666666666666664,-48.0,0.0,0,False
study,da-13-3--rep-003--solver-luna--user-simulator-offline-rubric,da-13-3,3,user-simulator-offline-rubric,0.0,0.0,11.0,0.0,0,False
study,da-18-7--rep-001--solver-luna--user-simulator-offline-rubric,da-18-7,1,user-simulator-offline-rubric,-8.0,-3.0,28.0,0.0,0,False
study,da-16-1--rep-002--solver-luna--full-offline-rubric,da-16-1,2,full-offline-rubric,21.0,-1.0,7.0,0.0,0,False
study,da-18-7--rep-002--solver-luna--user-simulator-offline-rubric,da-18-7,2,user-simulator-offline-rubric,0.0,-2.6666666666666714,38.0,0.0,0,False
study,da-14-3--rep-001--solver-luna--full-static,da-14-3,1,full-static,0.0,0.0,12.0,0.0,0,False
study,da-14-8--rep-002--solver-luna--full-offline-rubric,da-14-8,2,full-offline-rubric,7.0,7.0,25.0,0.0,1,False
study,da-12-4--rep-001--solver-luna--full-offline-rubric,da-12-4,1,full-offline-rubric,0.0,-1.3333333333333286,56.0,0.0,0,False
study,da-13-6--rep-003--solver-luna--user-simulator-offline-rubric,da-13-6,3,user-simulator-offline-rubric,20.0,3.3333333333333286,-8.0,0.0,0,False
study,da-16-1--rep-003--solver-luna--user-simulator-offline-rubric,da-16-1,3,user-simulator-offline-rubric,13.0,-2.0,-2.0,0.0,0,False
study,da-14-3--rep-001--solver-luna--user-simulator-static,da-14-3,1,user-simulator-static,0.0,0.0,2.0,0.0,0,False
study,da-13-1--rep-003--solver-luna--full-offline-rubric,da-13-1,3,full-offline-rubric,0.0,0.0,42.0,0.0,0,False
study,da-14-1--rep-001--solver-luna--user-simulator-offline-rubric,da-14-1,1,user-simulator-offline-rubric,0.0,4.666666666666671,32.0,0.0,0,False
study,da-13-3--rep-003--solver-luna--full-static,da-13-3,3,full-static,0.0,0.0,7.0,0.0,0,False
study,da-13-5--rep-003--solver-luna--full-static,da-13-5,3,full-static,10.0,-3.3333333333333286,26.0,0.0,0,False
study,da-15-1--rep-002--solver-luna--user-simulator-static,da-15-1,2,user-simulator-static,0.0,0.0,32.0,0.0,1,False
study,da-10-1--rep-002--solver-luna--full-offline-rubric,da-10-1,2,full-offline-rubric,11.0,-1.0,31.0,0.0,0,False
study,da-10-1--rep-001--solver-luna--full-offline-rubric,da-10-1,1,full-offline-rubric,0.0,0.0,22.0,0.0,0,False
study,da-18-7--rep-001--solver-luna--user-simulator-static,da-18-7,1,user-simulator-static,0.0,-2.6666666666666714,22.0,0.0,0,False
study,da-13-6--rep-002--solver-luna--full-offline-rubric,da-13-6,2,full-offline-rubric,25.0,-1.6666666666666714,7.0,0.0,0,False
study,da-14-3--rep-002--solver-luna--full-offline-rubric,da-14-3,2,full-offline-rubric,0.0,0.0,10.0,0.0,0,False
study,da-13-1--rep-002--solver-luna--full-offline-rubric,da-13-1,2,full-offline-rubric,26.0,0.0,16.0,0.0,0,False
study,da-14-1--rep-001--solver-luna--full-offline-rubric,da-14-1,1,full-offline-rubric,24.0,0.3333333333333286,-1.0,0.0,0,False
study,da-10-3--rep-003--solver-luna--full-static,da-10-3,3,full-static,7.0,16.33333333333333,48.0,0.0,0,False
study,da-18-5--rep-001--solver-luna--full-static,da-18-5,1,full-static,0.0,0.0,28.0,0.0,0,False
study,da-15-2--rep-003--solver-luna--full-static,da-15-2,3,full-static,11.0,0.0,14.0,0.0,1,False
study,da-12-4--rep-003--solver-luna--user-simulator-static,da-12-4,3,user-simulator-static,7.0,0.0,1.0,0.0,0,False
study,da-10-1--rep-002--solver-luna--user-simulator-static,da-10-1,2,user-simulator-static,6.0,0.0,1.0,0.0,0,False
study,da-15-1--rep-003--solver-luna--user-simulator-offline-rubric,da-15-1,3,user-simulator-offline-rubric,5.0,0.0,6.0,0.0,0,False
study,da-13-6--rep-003--solver-luna--full-static,da-13-6,3,full-static,0.0,0.0,19.0,0.0,0,False
study,da-15-1--rep-003--solver-luna--full-static,da-15-1,3,full-static,5.0,0.0,4.0,0.0,0,False
study,da-10-1--rep-001--solver-luna--full-static,da-10-1,1,full-static,0.0,0.0,9.0,0.0,0,False
study,da-13-1--rep-003--solver-luna--full-static,da-13-1,3,full-static,9.0,-6.0,33.0,0.0,0,False
study,da-13-1--rep-002--solver-luna--user-simulator-offline-rubric,da-13-1,2,user-simulator-offline-rubric,0.0,0.0,19.0,0.0,0,False
study,da-14-8--rep-003--solver-luna--full-static,da-14-8,3,full-static,0.0,0.0,22.0,0.0,0,False
study,da-14-8--rep-002--solver-luna--full-static,da-14-8,2,full-static,32.0,-5.0,-4.0,0.0,2,False
study,da-12-4--rep-003--solver-luna--full-static,da-12-4,3,full-static,0.0,0.0,13.0,0.0,0,False
study,da-14-1--rep-001--solver-luna--full-static,da-14-1,1,full-static,29.0,-6.666666666666671,-1.0,0.0,0,False
study,da-13-3--rep-003--solver-luna--full-offline-rubric,da-13-3,3,full-offline-rubric,0.0,0.0,10.0,0.0,0,False
study,da-12-2--rep-003--solver-luna--full-offline-rubric,da-12-2,3,full-offline-rubric,0.0,0.0,15.0,0.0,1,False
study,da-12-2--rep-001--solver-luna--user-simulator-static,da-12-2,1,user-simulator-static,-10.0,5.0,12.0,0.0,0,False
study,da-16-1--rep-001--solver-luna--full-static,da-16-1,1,full-static,0.0,0.0,12.0,0.0,0,False
study,da-15-7--rep-002--solver-luna--user-simulator-offline-rubric,da-15-7,2,user-simulator-offline-rubric,7.0,0.0,23.0,0.0,1,False
study,da-13-5--rep-001--solver-luna--user-simulator-offline-rubric,da-13-5,1,user-simulator-offline-rubric,20.0,-3.3333333333333286,-18.0,0.0,0,False
study,da-19-1--rep-003--solver-luna--full-offline-rubric,da-19-1,3,full-offline-rubric,5.0,3.3333333333333286,1.0,0.0,0,False
study,da-19-6--rep-001--solver-luna--full-offline-rubric,da-19-6,1,full-offline-rubric,5.0,0.0,2.0,0.0,0,False
study,da-12-2--rep-001--solver-luna--full-offline-rubric,da-12-2,1,full-offline-rubric,0.0,0.0,38.0,0.0,3,False
study,da-13-5--rep-002--solver-luna--user-simulator-static,da-13-5,2,user-simulator-static,10.0,0.0,-6.0,0.0,0,False
study,da-10-3--rep-001--solver-luna--full-static,da-10-3,1,full-static,0.0,0.0,26.0,0.0,1,False
study,da-15-8--rep-003--solver-luna--full-offline-rubric,da-15-8,3,full-offline-rubric,0.0,0.0,72.0,0.0,0,False
study,da-14-1--rep-002--solver-luna--user-simulator-static,da-14-1,2,user-simulator-static,17.0,9.0,-12.0,0.0,0,False
study,da-12-4--rep-001--solver-luna--user-simulator-offline-rubric,da-12-4,1,user-simulator-offline-rubric,0.0,0.0,14.0,0.0,0,False
study,da-15-1--rep-003--solver-luna--user-simulator-static,da-15-1,3,user-simulator-static,15.0,3.3333333333333286,14.0,0.0,0,False
study,da-15-7--rep-001--solver-luna--full-static,da-15-7,1,full-static,10.0,-3.3333333333333286,32.0,0.0,1,False
study,da-13-5--rep-001--solver-luna--full-offline-rubric,da-13-5,1,full-offline-rubric,0.0,-5.0,26.0,0.0,0,False
study,da-12-2--rep-002--solver-luna--full-static,da-12-2,2,full-static,5.0,0.0,20.0,0.0,0,False
study,da-19-1--rep-003--solver-luna--user-simulator-static,da-19-1,3,user-simulator-static,24.0,4.0,-16.0,0.0,0,False
study,da-13-3--rep-001--solver-luna--user-simulator-static,da-13-3,1,user-simulator-static,0.0,0.0,7.0,0.0,0,False
study,da-15-2--rep-001--solver-luna--user-simulator-offline-rubric,da-15-2,1,user-simulator-offline-rubric,26.0,2.3333333333333357,2.0,0.0,1,False
study,da-15-1--rep-002--solver-luna--full-offline-rubric,da-15-1,2,full-offline-rubric,0.0,0.0,3.0,0.0,0,False
study,da-14-8--rep-003--solver-luna--full-offline-rubric,da-14-8,3,full-offline-rubric,22.0,18.66666666666667,20.0,0.0,4,False
study,da-13-3--rep-002--solver-luna--user-simulator-static,da-13-3,2,user-simulator-static,0.0,0.0,7.0,0.0,0,False
study,da-14-8--rep-001--solver-luna--user-simulator-static,da-14-8,1,user-simulator-static,32.0,2.6666666666666643,-17.0,0.0,0,False
study,da-15-7--rep-002--solver-luna--user-simulator-static,da-15-7,2,user-simulator-static,27.0,0.0,8.0,0.0,1,False
study,da-12-4--rep-001--solver-luna--full-static,da-12-4,1,full-static,14.0,0.0,51.0,100.0,8,False
study,da-13-5--rep-003--solver-luna--user-simulator-offline-rubric,da-13-5,3,user-simulator-offline-rubric,20.0,-1.6666666666666714,-12.0,0.0,0,False
study,da-18-5--rep-003--solver-luna--user-simulator-offline-rubric,da-18-5,3,user-simulator-offline-rubric,18.0,0.0,47.0,0.0,0,False
study,da-15-2--rep-002--solver-luna--full-offline-rubric,da-15-2,2,full-offline-rubric,27.0,0.0,15.0,0.0,1,False
study,da-15-2--rep-003--solver-luna--user-simulator-static,da-15-2,3,user-simulator-static,38.0,-1.6666666666666643,-23.0,0.0,1,False
study,da-10-3--rep-002--solver-luna--full-offline-rubric,da-10-3,2,full-offline-rubric,0.0,3.3333333333333286,52.0,0.0,0,False
study,da-14-8--rep-003--solver-luna--user-simulator-offline-rubric,da-14-8,3,user-simulator-offline-rubric,42.0,-7.0,-6.0,0.0,0,False
study,da-13-6--rep-001--solver-luna--user-simulator-static,da-13-6,1,user-simulator-static,20.0,3.3333333333333286,4.0,0.0,1,False
study,da-15-2--rep-001--solver-luna--full-static,da-15-2,1,full-static,17.0,6.666666666666671,35.0,0.0,1,False
study,da-18-7--rep-003--solver-luna--full-static,da-18-7,3,full-static,0.0,2.6666666666666714,24.0,0.0,0,False
study,da-15-1--rep-001--solver-luna--full-offline-rubric,da-15-1,1,full-offline-rubric,0.0,6.666666666666671,25.0,0.0,0,False
study,da-12-4--rep-001--solver-luna--user-simulator-static,da-12-4,1,user-simulator-static,0.0,0.0,-5.0,0.0,0,False
study,da-12-2--rep-001--solver-luna--user-simulator-offline-rubric,da-12-2,1,user-simulator-offline-rubric,10.0,13.333333333333336,-29.0,0.0,0,False
study,da-13-5--rep-001--solver-luna--full-static,da-13-5,1,full-static,0.0,-1.6666666666666714,15.0,0.0,0,False
study,da-12-2--rep-001--solver-luna--full-static,da-12-2,1,full-static,0.0,0.0,28.0,0.0,1,False
study,da-10-3--rep-003--solver-luna--full-offline-rubric,da-10-3,3,full-offline-rubric,7.0,-4.666666666666671,28.0,0.0,0,False
study,da-13-1--rep-002--solver-luna--full-static,da-13-1,2,full-static,31.0,-8.666666666666671,13.0,0.0,0,False
study,da-16-1--rep-003--solver-luna--user-simulator-static,da-16-1,3,user-simulator-static,8.0,0.0,15.0,0.0,0,False
study,da-12-4--rep-002--solver-luna--user-simulator-offline-rubric,da-12-4,2,user-simulator-offline-rubric,0.0,0.0,8.0,0.0,0,False
study,da-14-1--rep-003--solver-luna--user-simulator-static,da-14-1,3,user-simulator-static,17.0,6.666666666666671,-10.0,0.0,0,False
study,da-14-3--rep-001--solver-luna--full-offline-rubric,da-14-3,1,full-offline-rubric,0.0,0.0,8.0,0.0,0,False
study,da-13-5--rep-003--solver-luna--full-offline-rubric,da-13-5,3,full-offline-rubric,20.0,-1.6666666666666714,12.0,0.0,0,False
study,da-12-4--rep-002--solver-luna--full-static,da-12-4,2,full-static,0.0,4.666666666666671,18.0,0.0,0,False
study,da-19-6--rep-003--solver-luna--full-offline-rubric,da-19-6,3,full-offline-rubric,-13.0,4.333333333333329,1.0,0.0,0,False
study,da-19-6--rep-003--solver-luna--full-static,da-19-6,3,full-static,0.0,-11.333333333333336,-46.0,0.0,0,False
study,da-15-8--rep-001--solver-luna--full-offline-rubric,da-15-8,1,full-offline-rubric,0.0,3.3333333333333286,58.0,0.0,0,False
study,da-12-2--rep-003--solver-luna--full-static,da-12-2,3,full-static,10.0,-1.6666666666666714,45.0,0.0,1,False
study,da-14-8--rep-002--solver-luna--user-simulator-offline-rubric,da-14-8,2,user-simulator-offline-rubric,15.0,2.3333333333333286,30.0,0.0,1,False
study,da-15-2--rep-002--solver-luna--full-static,da-15-2,2,full-static,28.0,9.0,24.0,0.0,1,False
study,da-18-5--rep-001--solver-luna--user-simulator-static,da-18-5,1,user-simulator-static,13.0,6.666666666666671,52.0,0.0,0,False
study,da-10-3--rep-002--solver-luna--user-simulator-static,da-10-3,2,user-simulator-static,11.0,3.6666666666666714,44.0,0.0,0,False
study,da-19-1--rep-003--solver-luna--user-simulator-offline-rubric,da-19-1,3,user-simulator-offline-rubric,19.0,0.0,3.0,0.0,0,False
study,da-15-7--rep-003--solver-luna--user-simulator-offline-rubric,da-15-7,3,user-simulator-offline-rubric,10.0,-3.3333333333333286,19.0,0.0,2,False
study,da-14-3--rep-002--solver-luna--user-simulator-static,da-14-3,2,user-simulator-static,0.0,0.0,4.0,0.0,0,False
study,da-15-8--rep-002--solver-luna--user-simulator-offline-rubric,da-15-8,2,user-simulator-offline-rubric,0.0,0.0,62.0,0.0,0,False
study,da-13-5--rep-002--solver-luna--user-simulator-offline-rubric,da-13-5,2,user-simulator-offline-rubric,10.0,0.0,12.0,0.0,0,False
study,da-13-6--rep-002--solver-luna--full-static,da-13-6,2,full-static,0.0,3.3333333333333286,33.0,0.0,0,False
study,da-13-5--rep-002--solver-luna--full-static,da-13-5,2,full-static,15.0,-3.3333333333333286,-5.0,0.0,0,False
study,da-13-3--rep-001--solver-luna--full-static,da-13-3,1,full-static,0.0,0.0,22.0,0.0,0,False
study,da-15-2--rep-003--solver-luna--full-offline-rubric,da-15-2,3,full-offline-rubric,17.0,-3.3333333333333286,35.0,0.0,1,False
study,da-15-2--rep-001--solver-luna--full-offline-rubric,da-15-2,1,full-offline-rubric,17.0,3.3333333333333286,45.0,0.0,2,False
study,da-12-4--rep-002--solver-luna--user-simulator-static,da-12-4,2,user-simulator-static,0.0,-6.0,32.0,0.0,0,False
study,da-12-4--rep-003--solver-luna--user-simulator-offline-rubric,da-12-4,3,user-simulator-offline-rubric,7.0,0.0,-16.0,0.0,0,False
study,da-13-6--rep-003--solver-luna--user-simulator-static,da-13-6,3,user-simulator-static,30.0,6.666666666666671,-23.0,0.0,0,False
study,da-19-6--rep-001--solver-luna--user-simulator-static,da-19-6,1,user-simulator-static,12.0,3.333333333333332,-72.0,0.0,0,False
study,da-18-7--rep-002--solver-luna--full-offline-rubric,da-18-7,2,full-offline-rubric,0.0,0.0,30.0,0.0,0,False
study,da-18-5--rep-003--solver-luna--full-static,da-18-5,3,full-static,0.0,0.0,45.0,0.0,1,False
study,da-14-3--rep-003--solver-luna--user-simulator-offline-rubric,da-14-3,3,user-simulator-offline-rubric,0.0,0.0,4.0,0.0,0,False
study,da-10-1--rep-003--solver-luna--full-static,da-10-1,3,full-static,0.0,1.0,6.0,0.0,0,False
study,da-18-5--rep-003--solver-luna--full-offline-rubric,da-18-5,3,full-offline-rubric,0.0,3.3333333333333286,55.0,0.0,0,False
study,da-15-8--rep-003--solver-luna--user-simulator-offline-rubric,da-15-8,3,user-simulator-offline-rubric,0.0,-6.666666666666671,66.0,0.0,1,False
study,da-12-2--rep-002--solver-luna--full-offline-rubric,da-12-2,2,full-offline-rubric,30.0,14.666666666666671,-24.0,0.0,1,False
study,da-15-7--rep-003--solver-luna--user-simulator-static,da-15-7,3,user-simulator-static,7.0,0.0,24.0,0.0,2,False
study,da-10-1--rep-001--solver-luna--user-simulator-static,da-10-1,1,user-simulator-static,0.0,0.0,-3.0,0.0,0,False
study,da-19-1--rep-001--solver-luna--user-simulator-offline-rubric,da-19-1,1,user-simulator-offline-rubric,0.0,2.6666666666666714,18.0,0.0,1,False
study,da-15-7--rep-001--solver-luna--user-simulator-static,da-15-7,1,user-simulator-static,12.0,0.0,17.0,0.0,2,False
study,da-16-1--rep-003--solver-luna--full-static,da-16-1,3,full-static,5.0,0.0,23.0,0.0,0,False
study,da-15-7--rep-001--solver-luna--user-simulator-offline-rubric,da-15-7,1,user-simulator-offline-rubric,25.0,0.0,-3.0,0.0,0,False
study,da-16-1--rep-001--solver-luna--user-simulator-static,da-16-1,1,user-simulator-static,0.0,0.0,13.0,0.0,0,False
study,da-13-1--rep-001--solver-luna--full-static,da-13-1,1,full-static,9.0,-8.333333333333329,3.0,0.0,0,False
study,da-14-8--rep-003--solver-luna--user-simulator-static,da-14-8,3,user-simulator-static,27.0,-3.0,21.0,0.0,1,False
study,da-19-1--rep-001--solver-luna--full-static,da-19-1,1,full-static,0.0,0.0,4.0,0.0,0,False
study,da-15-8--rep-003--solver-luna--full-static,da-15-8,3,full-static,0.0,3.3333333333333286,62.0,0.0,0,False
study,da-15-8--rep-002--solver-luna--full-static,da-15-8,2,full-static,10.0,6.666666666666671,58.0,0.0,0,False
study,da-19-6--rep-002--solver-luna--user-simulator-static,da-19-6,2,user-simulator-static,20.0,2.6666666666666643,-24.0,0.0,1,False
study,da-12-2--rep-003--solver-luna--user-simulator-offline-rubric,da-12-2,3,user-simulator-offline-rubric,15.0,-1.3333333333333357,-12.0,0.0,0,False
study,da-15-8--rep-001--solver-luna--user-simulator-offline-rubric,da-15-8,1,user-simulator-offline-rubric,0.0,0.0,22.0,0.0,0,False
study,da-18-7--rep-001--solver-luna--full-static,da-18-7,1,full-static,0.0,-5.333333333333329,25.0,0.0,1,False
study,da-19-1--rep-002--solver-luna--user-simulator-static,da-19-1,2,user-simulator-static,5.0,0.0,1.0,0.0,0,False
study,da-18-5--rep-001--solver-luna--user-simulator-offline-rubric,da-18-5,1,user-simulator-offline-rubric,23.0,0.0,25.0,0.0,0,False
study,da-15-8--rep-001--solver-luna--user-simulator-static,da-15-8,1,user-simulator-static,3.0,0.0,32.0,0.0,0,False
study,da-10-1--rep-003--solver-luna--user-simulator-static,da-10-1,3,user-simulator-static,15.0,2.0,-4.0,0.0,0,False
study,da-18-5--rep-002--solver-luna--full-offline-rubric,da-18-5,2,full-offline-rubric,0.0,0.0,38.0,0.0,0,False
study,da-13-6--rep-003--solver-luna--full-offline-rubric,da-13-6,3,full-offline-rubric,40.0,0.0,-2.0,0.0,0,False
study,da-13-1--rep-001--solver-luna--full-offline-rubric,da-13-1,1,full-offline-rubric,9.0,0.0,29.0,0.0,0,False
study,da-14-1--rep-003--solver-luna--user-simulator-offline-rubric,da-14-1,3,user-simulator-offline-rubric,0.0,-4.333333333333329,8.0,0.0,0,False
study,da-14-8--rep-001--solver-luna--full-static,da-14-8,1,full-static,0.0,0.0,62.0,0.0,2,False
study,da-15-7--rep-002--solver-luna--full-static,da-15-7,2,full-static,45.0,-2.6666666666666643,8.0,0.0,2,False
study,da-13-5--rep-002--solver-luna--full-offline-rubric,da-13-5,2,full-offline-rubric,0.0,-5.0,32.0,0.0,0,False
study,da-10-1--rep-003--solver-luna--full-offline-rubric,da-10-1,3,full-offline-rubric,15.0,-2.0,13.0,0.0,0,False
study,da-14-3--rep-001--solver-luna--user-simulator-offline-rubric,da-14-3,1,user-simulator-offline-rubric,0.0,0.0,3.0,0.0,0,False
study,da-14-8--rep-001--solver-luna--user-simulator-offline-rubric,da-14-8,1,user-simulator-offline-rubric,25.0,0.0,13.0,0.0,1,False
study,da-18-7--rep-002--solver-luna--full-static,da-18-7,2,full-static,0.0,0.0,22.0,0.0,0,False
study,da-19-1--rep-002--solver-luna--user-simulator-offline-rubric,da-19-1,2,user-simulator-offline-rubric,0.0,0.0,4.0,0.0,0,False
study,da-12-4--rep-002--solver-luna--full-offline-rubric,da-12-4,2,full-offline-rubric,0.0,0.0,18.0,0.0,0,False
study,da-15-2--rep-003--solver-luna--user-simulator-offline-rubric,da-15-2,3,user-simulator-offline-rubric,0.0,-16.0,1.0,0.0,1,False
study,da-15-2--rep-001--solver-luna--user-simulator-static,da-15-2,1,user-simulator-static,16.0,-13.666666666666671,9.0,0.0,0,False
study,da-13-3--rep-002--solver-luna--user-simulator-offline-rubric,da-13-3,2,user-simulator-offline-rubric,0.0,0.0,14.0,0.0,0,False
study,da-10-1--rep-002--solver-luna--user-simulator-offline-rubric,da-10-1,2,user-simulator-offline-rubric,9.0,0.0,5.0,0.0,0,False
study,da-14-1--rep-002--solver-luna--user-simulator-offline-rubric,da-14-1,2,user-simulator-offline-rubric,17.0,-1.3333333333333286,-5.0,0.0,0,False
study,da-10-1--rep-003--solver-luna--user-simulator-offline-rubric,da-10-1,3,user-simulator-offline-rubric,9.0,3.6666666666666714,-1.0,0.0,0,False
study,da-19-1--rep-002--solver-luna--full-static,da-19-1,2,full-static,0.0,0.0,2.0,0.0,0,False
study,da-15-7--rep-003--solver-luna--full-static,da-15-7,3,full-static,13.0,1.6666666666666714,35.0,0.0,1,False
study,da-13-6--rep-002--solver-luna--user-simulator-static,da-13-6,2,user-simulator-static,25.0,-1.6666666666666714,-10.0,0.0,0,False
study,da-18-5--rep-003--solver-luna--user-simulator-static,da-18-5,3,user-simulator-static,18.0,4.0,37.0,0.0,0,False
study,da-14-1--rep-001--solver-luna--user-simulator-static,da-14-1,1,user-simulator-static,19.0,-3.3333333333333286,-15.0,0.0,0,False
study,da-16-1--rep-002--solver-luna--user-simulator-static,da-16-1,2,user-simulator-static,8.0,1.6666666666666714,15.0,0.0,1,False
study,da-10-3--rep-003--solver-luna--user-simulator-static,da-10-3,3,user-simulator-static,11.0,2.3333333333333286,26.0,0.0,0,False
study,da-15-2--rep-002--solver-luna--user-simulator-static,da-15-2,2,user-simulator-static,22.0,-5.0,-7.0,0.0,2,False
study,da-16-1--rep-002--solver-luna--full-static,da-16-1,2,full-static,8.0,0.0,16.0,0.0,0,False
study,da-13-3--rep-001--solver-luna--user-simulator-offline-rubric,da-13-3,1,user-simulator-offline-rubric,0.0,0.0,6.0,0.0,0,False
