assignment_id,task_id,replicate,condition_id,feedback_type,rubric_type,initial_weak_score,initial_gpt_score,initial_claude_score,initial_strong_score,initial_weak_minus_strong,final_weak_score,final_gpt_score,final_claude_score,final_strong_score,final_weak_minus_strong,gap_change
da-12-4--rep-002--full-online-rubric,da-12-4,2,full-online-rubric,full,online_elicitation,73.0,57.0,56.6,56.8,16.200000000000003,100.0,100.0,100.0,100.0,0.0,-16.200000000000003
da-12-4--rep-002--full-static,da-12-4,2,full-static,full,fixed,64.0,57.0,58.4,57.7,6.299999999999997,100.0,100.0,100.0,100.0,0.0,-6.299999999999997
da-12-4--rep-002--score-only-static,da-12-4,2,score-only-static,score_only,fixed,64.0,57.0,58.4,57.7,6.299999999999997,81.0,87.4,81.8,84.6,-3.5999999999999943,-9.899999999999991
da-12-4--rep-002--semi-offline-rubric,da-12-4,2,semi-offline-rubric,semi,offline_elicitation,71.2,55.0,56.6,55.8,15.400000000000006,96.2,90.2,79.0,84.6,11.600000000000009,-3.799999999999997
da-12-4--rep-002--semi-static,da-12-4,2,semi-static,semi,fixed,64.0,57.0,58.4,57.7,6.299999999999997,86.0,84.6,83.2,83.9,2.0999999999999943,-4.200000000000003
da-12-4--rep-002--user-simulator-offline-rubric,da-12-4,2,user-simulator-offline-rubric,user_simulator,offline_elicitation,73.0,57.0,59.8,58.4,14.600000000000001,73.0,58.8,58.4,58.599999999999994,14.400000000000006,-0.19999999999999574
da-12-4--rep-002--user-simulator-online-rubric,da-12-4,2,user-simulator-online-rubric,user_simulator,online_elicitation,73.0,57.0,55.0,56.0,17.0,77.0,77.0,76.2,76.6,0.4000000000000057,-16.599999999999994
da-12-4--rep-002--user-simulator-static,da-12-4,2,user-simulator-static,user_simulator,fixed,64.0,57.0,58.4,57.7,6.299999999999997,73.0,57.0,57.0,57.0,16.0,9.700000000000003
da-12-4--rep-003--full-offline-rubric,da-12-4,3,full-offline-rubric,full,offline_elicitation,96.8,93.0,100.0,96.5,0.29999999999999716,100.0,94.4,99.2,96.80000000000001,3.1999999999999886,2.8999999999999915
da-12-4--rep-003--full-static,da-12-4,3,full-static,full,fixed,98.0,93.0,100.0,96.5,1.5,100.0,100.0,100.0,100.0,0.0,-1.5
da-12-4--rep-003--score-only-static,da-12-4,3,score-only-static,score_only,fixed,98.0,93.0,100.0,96.5,1.5,97.0,94.4,100.0,97.2,-0.20000000000000284,-1.7000000000000028
da-12-4--rep-003--semi-online-rubric,da-12-4,3,semi-online-rubric,semi,online_elicitation,96.0,96.6,100.0,98.3,-2.299999999999997,100.0,95.8,96.0,95.9,4.099999999999994,6.3999999999999915
da-12-4--rep-003--semi-static,da-12-4,3,semi-static,semi,fixed,98.0,93.0,100.0,96.5,1.5,98.0,93.0,100.0,96.5,1.5,0.0
da-12-4--rep-003--user-simulator-offline-rubric,da-12-4,3,user-simulator-offline-rubric,user_simulator,offline_elicitation,95.0,95.8,100.0,97.9,-2.9000000000000057,100.0,97.2,100.0,98.6,1.4000000000000057,4.300000000000011
da-12-4--rep-003--user-simulator-online-rubric,da-12-4,3,user-simulator-online-rubric,user_simulator,online_elicitation,95.0,93.0,100.0,96.5,-1.5,98.0,99.6,99.6,99.6,-1.5999999999999943,-0.09999999999999432
da-12-4--rep-003--user-simulator-static,da-12-4,3,user-simulator-static,user_simulator,fixed,98.0,93.0,100.0,96.5,1.5,100.0,95.8,99.0,97.4,2.5999999999999943,1.0999999999999943
da-13-1--rep-001--full-offline-rubric,da-13-1,1,full-offline-rubric,full,offline_elicitation,26.0,10.0,24.0,17.0,9.0,90.6,91.0,89.8,90.4,0.19999999999998863,-8.800000000000011
da-13-1--rep-001--full-online-rubric,da-13-1,1,full-online-rubric,full,online_elicitation,24.2,10.0,10.4,10.2,14.0,97.6,91.0,92.8,91.9,5.699999999999989,-8.300000000000011
da-13-1--rep-001--full-static,da-13-1,1,full-static,full,fixed,28.0,10.0,17.2,13.6,14.4,100.0,82.0,64.0,73.0,27.0,12.6
da-13-1--rep-001--score-only-offline-rubric,da-13-1,1,score-only-offline-rubric,score_only,offline_elicitation,33.8,10.0,12.0,11.0,22.799999999999997,67.4,54.0,50.2,52.1,15.300000000000004,-7.499999999999993
da-13-1--rep-001--score-only-online-rubric,da-13-1,1,score-only-online-rubric,score_only,online_elicitation,29.6,8.0,11.6,9.8,19.8,51.6,66.0,50.6,58.3,-6.699999999999996,-26.499999999999996
da-13-1--rep-001--score-only-static,da-13-1,1,score-only-static,score_only,fixed,28.0,10.0,17.2,13.6,14.4,61.0,54.0,54.8,54.4,6.600000000000001,-7.799999999999999
da-13-1--rep-001--semi-online-rubric,da-13-1,1,semi-online-rubric,semi,online_elicitation,25.4,10.0,17.2,13.6,11.799999999999999,91.0,72.0,61.4,66.7,24.299999999999997,12.499999999999998
da-13-1--rep-001--semi-static,da-13-1,1,semi-static,semi,fixed,28.0,10.0,17.2,13.6,14.4,70.8,67.0,62.8,64.9,5.8999999999999915,-8.500000000000009
da-13-1--rep-001--user-simulator-online-rubric,da-13-1,1,user-simulator-online-rubric,user_simulator,online_elicitation,29.0,10.0,16.4,13.2,15.8,81.0,50.0,53.2,51.6,29.4,13.599999999999998
da-13-1--rep-001--user-simulator-static,da-13-1,1,user-simulator-static,user_simulator,fixed,28.0,10.0,17.2,13.6,14.4,81.0,60.0,52.0,56.0,25.0,10.6
da-13-1--rep-002--full-static,da-13-1,2,full-static,full,fixed,54.0,55.0,53.0,54.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0
da-13-1--rep-002--score-only-offline-rubric,da-13-1,2,score-only-offline-rubric,score_only,offline_elicitation,56.2,47.2,45.0,46.1,10.100000000000001,76.2,62.0,51.8,56.9,19.300000000000004,9.200000000000003
da-13-1--rep-002--score-only-online-rubric,da-13-1,2,score-only-online-rubric,score_only,online_elicitation,47.2,45.8,45.4,45.599999999999994,1.6000000000000085,78.6,72.0,58.4,65.2,13.399999999999991,11.799999999999983
da-13-1--rep-002--score-only-static,da-13-1,2,score-only-static,score_only,fixed,54.0,55.0,53.0,54.0,0.0,78.8,72.0,56.6,64.3,14.5,14.5
da-13-1--rep-002--semi-offline-rubric,da-13-1,2,semi-offline-rubric,semi,offline_elicitation,56.0,49.4,46.4,47.9,8.100000000000001,94.6,88.0,86.6,87.3,7.299999999999997,-0.8000000000000043
da-13-1--rep-002--semi-online-rubric,da-13-1,2,semi-online-rubric,semi,online_elicitation,48.6,51.4,40.6,46.0,2.6000000000000014,92.8,75.0,81.6,78.3,14.5,11.899999999999999
da-13-1--rep-002--semi-static,da-13-1,2,semi-static,semi,fixed,54.0,55.0,53.0,54.0,0.0,91.0,70.0,91.0,80.5,10.5,10.5
da-13-1--rep-002--user-simulator-offline-rubric,da-13-1,2,user-simulator-offline-rubric,user_simulator,offline_elicitation,57.6,53.0,39.6,46.3,11.300000000000004,51.0,50.0,43.0,46.5,4.5,-6.800000000000004
da-13-1--rep-002--user-simulator-online-rubric,da-13-1,2,user-simulator-online-rubric,user_simulator,online_elicitation,44.0,45.4,34.0,39.7,4.299999999999997,47.0,51.6,40.8,46.2,0.7999999999999972,-3.5
da-13-1--rep-002--user-simulator-static,da-13-1,2,user-simulator-static,user_simulator,fixed,54.0,55.0,53.0,54.0,0.0,69.0,69.0,60.6,64.8,4.200000000000003,4.200000000000003
da-13-1--rep-003--full-offline-rubric,da-13-1,3,full-offline-rubric,full,offline_elicitation,49.0,42.2,39.2,40.7,8.299999999999997,96.4,91.0,91.0,91.0,5.400000000000006,-2.8999999999999915
da-13-1--rep-003--full-online-rubric,da-13-1,3,full-online-rubric,full,online_elicitation,66.0,37.2,33.2,35.2,30.799999999999997,94.4,76.0,80.2,78.1,16.30000000000001,-14.499999999999986
da-13-1--rep-003--full-static,da-13-1,3,full-static,full,fixed,49.2,44.0,37.4,40.7,8.5,100.0,81.0,94.2,87.6,12.400000000000006,3.9000000000000057
da-13-1--rep-003--score-only-offline-rubric,da-13-1,3,score-only-offline-rubric,score_only,offline_elicitation,62.8,38.0,36.6,37.3,25.5,66.2,39.2,31.6,35.400000000000006,30.799999999999997,5.299999999999997
da-13-1--rep-003--semi-online-rubric,da-13-1,3,semi-online-rubric,semi,online_elicitation,62.4,37.2,28.8,33.0,29.4,90.6,72.0,81.2,76.6,14.0,-15.399999999999999
da-13-1--rep-003--user-simulator-offline-rubric,da-13-1,3,user-simulator-offline-rubric,user_simulator,offline_elicitation,49.0,39.2,35.8,37.5,11.5,64.8,52.0,32.2,42.1,22.699999999999996,11.199999999999996
da-13-1--rep-003--user-simulator-online-rubric,da-13-1,3,user-simulator-online-rubric,user_simulator,online_elicitation,55.0,41.6,38.2,39.900000000000006,15.099999999999994,58.6,64.0,45.2,54.6,4.0,-11.099999999999994
da-13-1--rep-003--user-simulator-static,da-13-1,3,user-simulator-static,user_simulator,fixed,49.2,44.0,37.4,40.7,8.5,49.0,61.0,36.0,48.5,0.5,-8.0
da-13-3--rep-001--full-offline-rubric,da-13-3,1,full-offline-rubric,full,offline_elicitation,63.6,48.0,52.0,50.0,13.600000000000001,100.0,100.0,100.0,100.0,0.0,-13.600000000000001
da-13-3--rep-001--score-only-offline-rubric,da-13-3,1,score-only-offline-rubric,score_only,offline_elicitation,46.0,46.2,49.8,48.0,-2.0,57.8,47.0,61.0,54.0,3.799999999999997,5.799999999999997
da-13-3--rep-001--score-only-online-rubric,da-13-3,1,score-only-online-rubric,score_only,online_elicitation,50.0,47.0,51.2,49.1,0.8999999999999986,48.8,47.0,36.0,41.5,7.299999999999997,6.399999999999999
da-13-3--rep-001--score-only-static,da-13-3,1,score-only-static,score_only,fixed,63.6,48.0,52.0,50.0,13.600000000000001,61.6,52.0,59.2,55.6,6.0,-7.600000000000001
da-13-3--rep-001--semi-offline-rubric,da-13-3,1,semi-offline-rubric,semi,offline_elicitation,44.2,50.0,57.2,53.6,-9.399999999999999,99.0,100.0,77.0,88.5,10.5,19.9
da-13-3--rep-001--semi-static,da-13-3,1,semi-static,semi,fixed,63.6,48.0,52.0,50.0,13.600000000000001,78.8,77.0,72.0,74.5,4.299999999999997,-9.300000000000004
da-13-3--rep-001--user-simulator-online-rubric,da-13-3,1,user-simulator-online-rubric,user_simulator,online_elicitation,49.0,49.0,51.6,50.3,-1.2999999999999972,53.0,52.0,41.0,46.5,6.5,7.799999999999997
da-13-3--rep-001--user-simulator-static,da-13-3,1,user-simulator-static,user_simulator,fixed,63.6,48.0,52.0,50.0,13.600000000000001,51.8,52.0,54.6,53.3,-1.5,-15.100000000000001
da-13-3--rep-002--full-offline-rubric,da-13-3,2,full-offline-rubric,full,offline_elicitation,72.0,59.0,74.4,66.7,5.299999999999997,100.0,100.0,100.0,100.0,0.0,-5.299999999999997
da-13-3--rep-002--full-online-rubric,da-13-3,2,full-online-rubric,full,online_elicitation,72.0,57.0,77.0,67.0,5.0,100.0,100.0,100.0,100.0,0.0,-5.0
da-13-3--rep-002--full-static,da-13-3,2,full-static,full,fixed,72.0,59.0,74.4,66.7,5.299999999999997,100.0,100.0,100.0,100.0,0.0,-5.299999999999997
