variant,task,replicate,auditor,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
R1,da-3-4,2,claude-opus-5,100.0,100.0,100.0,100.0,85,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-3-4,1,gpt-5.6-sol,100.0,100.0,89.0,92.66666666666667,94,11.0,6.0,-3.6666666666666714,-1.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-3-4,1,claude-opus-5,100.0,100.0,89.0,89.0,86,11.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-3-4,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,96,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-3-4,3,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-11-1,2,gpt-5.6-sol,72.0,72.0,12.0,12.0,25,60.0,47.0,0.0,-13.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-11-1,2,claude-opus-5,72.0,72.0,60.0,43.0,18,12.0,54.0,17.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-11-1,1,gpt-5.6-sol,79.0,79.0,67.0,60.666666666666664,25,12.0,54.0,6.333333333333336,35.666666666666664,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
R1,da-11-1,1,claude-opus-5,79.0,79.0,60.0,67.66666666666667,32,19.0,47.0,-7.666666666666671,35.66666666666667,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
R1,da-11-1,3,gpt-5.6-sol,93.0,83.0,93.0,92.33333333333333,38,0.0,55.0,0.6666666666666714,54.33333333333333,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
R1,da-11-1,3,claude-opus-5,93.0,83.0,78.0,69.66666666666667,37,15.0,56.0,8.333333333333329,32.66666666666667,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,2,gpt-5.6-sol,100.0,100.0,100.0,100.0,86,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,2,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,1,gpt-5.6-sol,100.0,100.0,100.0,100.0,94,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,1,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,3,gpt-5.6-sol,100.0,100.0,90.0,90.0,94,10.0,6.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,da-18-1,3,claude-opus-5,100.0,100.0,90.0,90.0,88,10.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,2,gpt-5.6-sol,100.0,100.0,100.0,100.0,97,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,2,claude-opus-5,100.0,100.0,100.0,96.33333333333333,87,0.0,13.0,3.6666666666666714,9.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,1,gpt-5.6-sol,100.0,100.0,100.0,92.66666666666667,94,0.0,6.0,7.333333333333329,-1.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,1,claude-opus-5,100.0,100.0,89.0,92.66666666666667,83,11.0,17.0,-3.6666666666666714,9.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,96,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-3-4,3,claude-opus-5,100.0,100.0,89.0,100.0,88,11.0,12.0,-11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-11-1,2,gpt-5.6-sol,100.0,100.0,0.0,91.0,20,100.0,80.0,-91.0,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R2,da-11-1,2,claude-opus-5,100.0,100.0,68.0,74.66666666666667,27,32.0,73.0,-6.666666666666671,47.66666666666667,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
R2,da-11-1,1,gpt-5.6-sol,73.0,73.0,72.0,70.0,38,1.0,35.0,2.0,32.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
R2,da-11-1,1,claude-opus-5,73.0,73.0,65.0,63.0,44,8.0,29.0,2.0,19.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0
R2,da-11-1,3,gpt-5.6-sol,94.0,94.0,71.0,67.66666666666667,38,23.0,56.0,3.3333333333333286,29.66666666666667,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-11-1,3,claude-opus-5,94.0,94.0,67.0,69.66666666666667,38,27.0,56.0,-2.6666666666666714,31.66666666666667,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,2,gpt-5.6-sol,100.0,100.0,100.0,100.0,94,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,2,claude-opus-5,100.0,100.0,100.0,100.0,88,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,1,gpt-5.6-sol,100.0,100.0,100.0,100.0,91,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,1,claude-opus-5,100.0,100.0,100.0,100.0,83,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,3,gpt-5.6-sol,100.0,100.0,90.0,90.0,94,10.0,6.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,da-18-1,3,claude-opus-5,100.0,100.0,90.0,96.66666666666667,88,10.0,12.0,-6.666666666666671,8.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
